"Time [ms]","Moving1.Torque [NewtonMeter]"
0,-0.322777744445683
0.01,-0.308011450032585
0.02,-0.288814376146614
0.03,-0.269679910699334
0.04,-0.25054114106662
0.05,-0.221634523668777
0.06,-0.158956694705135
0.07,-0.0632613933903111
0.08,0.0560608694356495
0.09,0.184881735760077
0.1,0.312174418532452
0.11,0.441529466397381
0.12,0.592931828405622
0.13,0.769896948973545
0.14,0.967266907266753
0.15,1.1652998145256
0.16,1.33722363144592
0.17,1.50805462479978
0.18,1.6631638512137
0.19,1.79588466010027
0.2,1.90910744539219
0.21,2.01843678747553
0.22,2.10238535499948
0.23,2.16101167397509
0.24,2.19943947440507
0.25,2.24688802795892
0.26,2.34300923795334
0.27,2.42279008904194
0.28,2.50522710495804
0.29,2.5926071401778
0.3,2.68046844772598
0.31,2.76111134690766
0.32,2.84702734900138
0.33,2.95673865431703
0.34,3.10747662307297
0.35,3.29265872218747
0.36,3.47125028207744
0.37,3.649666711137
0.38,3.82944683808757
0.39,4.01134855941815
0.4,4.16182334277265
0.41,4.24405176432707
0.42,4.33696819125755
0.43,4.45500298479175
0.440000000000001,4.60677041140687
0.450000000000001,4.80059456260503
0.460000000000001,5.03144615652228
0.470000000000001,5.25652301773438
0.480000000000001,5.45702048287023
0.490000000000001,5.62458536583959
0.500000000000001,5.79574361690954
0.510000000000001,5.99986959225166
0.520000000000001,6.18194723686691
0.530000000000001,6.32792011366328
0.540000000000001,6.4426899584439
0.550000000000001,6.55631063006537
0.560000000000001,6.67506005456129
0.570000000000001,6.82934526349257
0.580000000000001,7.03953192668347
0.590000000000001,7.31169742841856
0.600000000000001,7.53982319878861
0.610000000000001,7.70184372161636
0.620000000000001,7.91866025574804
0.630000000000001,8.19715694596931
0.640000000000001,8.529361562879
0.650000000000001,8.90174218753746
0.660000000000001,9.30696716982385
0.670000000000001,9.73181107133378
0.680000000000001,10.159315548986
0.690000000000001,10.5717077319863
0.700000000000001,10.987828010293
0.710000000000001,11.4226700829342
0.720000000000001,11.8619010560654
0.730000000000001,12.3053399792144
0.740000000000001,12.7477810898144
0.750000000000001,13.1951709071965
0.760000000000001,13.6520727362105
0.770000000000001,14.1290138173652
0.780000000000001,14.6404652036004
0.790000000000001,15.1868791165767
0.800000000000001,15.6462524354868
0.810000000000001,16.0628197476028
0.820000000000002,16.5094962523368
0.830000000000002,16.9885126355844
0.840000000000002,17.4909827677791
0.850000000000002,17.9958627386041
0.860000000000002,18.5027966175134
0.870000000000002,19.0068524297739
0.880000000000002,19.4967693478657
0.890000000000002,19.9627842720425
0.900000000000002,20.4662060181438
0.910000000000002,20.9658687941226
0.920000000000002,21.4502576582729
0.930000000000002,21.943868281512
0.940000000000002,22.4711642264836
0.950000000000002,23.0124267799475
0.960000000000002,23.5719767669574
0.970000000000002,24.159590347036
0.980000000000002,24.7695400278872
0.990000000000002,25.3884709475025
1,25.9279130616594
1.01,26.4715041975214
1.02,27.0415360488381
1.03,27.6285817654411
1.04,28.2154038008819
1.05,28.8296881295508
1.06,29.4384078897826
1.07,30.0010925639532
1.08,30.4985995544547
1.09,30.9273143972385
1.1,31.3938318656858
1.11,31.8196343188726
1.12,32.1855405536177
1.13,32.5013868146019
1.14,32.8013978134673
1.15,33.1454843574571
1.16,33.4872513154753
1.17,33.8387990710038
1.18,34.1994833294463
1.19,34.5589059919477
1.2,34.8033524660699
1.21,35.0252841879917
1.22,35.2635251039808
1.23,35.5446424799563
1.24,35.8708727280734
1.25,36.1917221086027
1.26,36.5350035799263
1.27,36.8473652496543
1.28,37.1000854071219
1.29,37.2994878082576
1.3,37.6349345183494
1.31,37.9431028438742
1.32,38.2089129755953
1.33,38.4293347667585
1.34,38.6438258472736
1.35,38.969604701563
1.36,39.3514675965164
1.37,39.8125644048017
1.38,40.3489966446805
1.39,40.9024344266485
1.4,41.1767738593598
1.41,41.4892899185711
1.42,41.869680032406
1.43,42.3282221156665
1.44,42.8454395353256
1.45,43.3941328893768
1.46,43.9633838882409
1.47,44.5563983930313
1.48,45.158607792725
1.49,45.7482325730462
1.5,46.3282120900425
1.51,46.9091960898731
1.52,47.4996316844092
1.53,48.0939819345342
1.54,48.6826114029975
