"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.01,0.275447948168559,-0.142054876749035,-0.133393071419524
0.02,0.54682236938209,-0.279517960867084,-0.267304408515006
0.03,0.815385609907236,-0.413610119042799,-0.401775490864437
0.04,1.08125486324198,-0.545184857793767,-0.536070005448212
0.05,1.34480905768689,-0.675091280635177,-0.669717777051718
0.06,1.60676741741085,-0.803410406110654,-0.803357011300197
0.07,1.86709121023381,-0.930172338544287,-0.936918871689525
0.08,2.12550768221817,-1.05378634747692,-1.07172133474125
0.09,2.38134098269411,-1.17311885054155,-1.20822213215256
0.1,2.63411950974754,-1.28804619894169,-1.34607331080584
0.11,2.88452207073106,-1.40154837992745,-1.48297369080361
0.12,3.13177836518291,-1.5126666791955,-1.61911168598742
0.13,3.37605759464278,-1.62115190196719,-1.75490569267559
0.14,3.61738022229664,-1.72615457509503,-1.89122564720161
0.15,3.85559588658041,-1.82687820288817,-2.02871768369224
0.16,4.0912355953147,-1.92583190525175,-2.16540369006295
0.17,4.32452651898621,-2.02159293166991,-2.3029335873163
0.18,4.55482076549342,-2.11383582645745,-2.44098493903597
0.19,4.78117558585466,-2.20211703676781,-2.57905854908685
0.2,5.00462794884942,-2.28707896767584,-2.71754898117357
0.21,5.23153892824696,-2.37272908590629,-2.85880984234067
0.22,5.45164290620821,-2.45366654977741,-2.9979763564308
0.23,5.66576903730018,-2.53045481270174,-3.13531422459843
0.24,5.87660256366586,-2.60458854885427,-3.27201401481159
0.25,6.0850195841004,-2.67655750070505,-3.40846208339535
0.26,6.29029998092524,-2.74717848355906,-3.54312149736618
0.27,6.49493175911227,-2.8166724075467,-3.67825935156557
0.28,6.69924734917492,-2.88450357992443,-3.81474376925048
0.29,6.90300348702551,-2.95013942742014,-3.95286405960537
0.3,7.10540492717461,-3.01358630611663,-4.09181862105798
0.31,7.30602346019148,-3.07680469017585,-4.22921877001563
0.32,7.50565873054717,-3.13965231233494,-4.36600641821223
0.33,7.70492362459775,-3.20183826719664,-4.50308535740111
0.34,7.9038128609586,-3.26214817359608,-4.64166468736251
0.35,8.1017765310148,-3.31892314187629,-4.78285338913851
0.36,8.29959832530701,-3.37291686441112,-4.92668146089589
0.37,8.49588312023369,-3.42464934809662,-5.07123377213707
0.38,8.6892018109809,-3.47379907674598,-5.21540273423492
0.39,8.87790902927824,-3.51989670506435,-5.35801232421388
0.4,9.06735429382078,-3.56524579208643,-5.50210850173435
0.41,9.26546920805108,-3.61332221822941,-5.65214698982166
0.42,9.45945906148268,-3.65943816893451,-5.80002089254817
0.43,9.6496853954837,-3.70412544489463,-5.94555995058907
0.440000000000001,9.83703734331808,-3.74773272696426,-6.08930461635382
0.450000000000001,10.0225262124424,-3.78943563843709,-6.23309057400527
0.460000000000001,10.2071554728059,-3.82905471554874,-6.37810075725711
0.470000000000001,10.391974481504,-3.8676835897722,-6.52429089173184
0.480000000000001,10.5768735187442,-3.9044615453639,-6.67241197338026
0.490000000000001,10.7609330454685,-3.93862290969806,-6.82231013577048
0.500000000000001,10.9430769249443,-3.97066482095501,-6.97241210398932
0.510000000000001,11.1235246745992,-4.00242308985349,-7.12110158474566
0.520000000000001,11.3034911333458,-4.03368466838859,-7.26980646495723
0.530000000000001,11.4838559893773,-4.06432548024092,-7.41953050913633
0.540000000000001,11.6647814024794,-4.0933842713885,-7.57139713109087
0.550000000000001,11.8442290175703,-4.11974717024795,-7.72448184732234
0.560000000000001,12.0213447624228,-4.14350914044708,-7.87783562197571
0.570000000000001,12.1963430673604,-4.16419373276118,-8.03214933459927
0.580000000000001,12.3678318749399,-4.18158770598955,-8.18624416895031
0.590000000000001,12.534571808224,-4.19579603617884,-8.33877577204514
0.600000000000001,12.7073646520055,-4.21221052438346,-8.495154127622
0.610000000000001,12.8877070824632,-4.23160833767199,-8.65609874479125
0.620000000000001,13.0636516282913,-4.24883363550665,-8.81481799278465
0.630000000000001,13.2364735546464,-4.26460540265721,-8.97186815198914
0.640000000000001,13.4076772409669,-4.27956358228716,-9.1281136586797
0.650000000000001,13.5770350077061,-4.29315295282895,-9.28388205487719
0.660000000000001,13.7451999027028,-4.30595856921979,-9.43924133348305
0.670000000000001,13.913671739003,-4.31808177567715,-9.59558996332588
0.680000000000001,14.0816306632221,-4.32835491846245,-9.75327574475964
0.690000000000001,14.2478671343122,-4.33603110373721,-9.91183603057501
0.700000000000001,14.4120699602796,-4.34226672651905,-10.0698032337606
0.710000000000001,14.5747482879852,-4.34880802416854,-10.2259402638166
0.720000000000001,14.736541843239,-4.35523703680134,-10.3813048064377
0.730000000000001,14.8983038106493,-4.36082698162086,-10.5374768290284
0.740000000000001,15.0599892505798,-4.36393372460217,-10.6960555259777
0.750000000000001,15.220194157155,-4.36372370117529,-10.8564704559797
0.760000000000001,15.378628932152,-4.36189318872959,-11.0167357434224
0.770000000000001,15.5337207223742,-4.3586808403856,-11.1750398819886
0.780000000000001,15.6836361779997,-4.35395547935102,-11.3296806986486
0.790000000000001,15.8270751964393,-4.34722530176272,-11.4798498946765
0.800000000000001,15.9830785126087,-4.34062481559747,-11.6424536970112
0.810000000000001,16.1440024232663,-4.33403671995743,-11.8099657033088
0.820000000000002,16.2994625533284,-4.32683994497761,-11.9726226083508
0.830000000000002,16.450883507338,-4.31955212658104,-12.131331380757
0.840000000000002,16.5999761604015,-4.31206001292125,-12.2879161474802
0.850000000000002,16.7465228146026,-4.30226965941659,-12.444253155186
0.860000000000002,16.8925105116388,-4.29114355622333,-12.6013669554155
