"Time [ms]","InducedVoltage(PhaseA) [V] - b='0.7'","InducedVoltage(PhaseA) [V] - b='0.72'","InducedVoltage(PhaseA) [V] - b='0.74'","InducedVoltage(PhaseA) [V] - b='0.76'","InducedVoltage(PhaseA) [V] - b='0.78'","InducedVoltage(PhaseA) [V] - b='0.8'","InducedVoltage(PhaseA) [V] - b='0.82'","InducedVoltage(PhaseA) [V] - b='0.84'","InducedVoltage(PhaseA) [V] - b='0.86'","InducedVoltage(PhaseA) [V] - b='0.88'","InducedVoltage(PhaseA) [V] - b='0.9'","InducedVoltage(PhaseB) [V] - b='0.7'","InducedVoltage(PhaseB) [V] - b='0.72'","InducedVoltage(PhaseB) [V] - b='0.74'","InducedVoltage(PhaseB) [V] - b='0.76'","InducedVoltage(PhaseB) [V] - b='0.78'","InducedVoltage(PhaseB) [V] - b='0.8'","InducedVoltage(PhaseB) [V] - b='0.82'","InducedVoltage(PhaseB) [V] - b='0.84'","InducedVoltage(PhaseB) [V] - b='0.86'","InducedVoltage(PhaseB) [V] - b='0.88'","InducedVoltage(PhaseB) [V] - b='0.9'","InducedVoltage(PhaseC) [V] - b='0.7'","InducedVoltage(PhaseC) [V] - b='0.72'","InducedVoltage(PhaseC) [V] - b='0.74'","InducedVoltage(PhaseC) [V] - b='0.76'","InducedVoltage(PhaseC) [V] - b='0.78'","InducedVoltage(PhaseC) [V] - b='0.8'","InducedVoltage(PhaseC) [V] - b='0.82'","InducedVoltage(PhaseC) [V] - b='0.84'","InducedVoltage(PhaseC) [V] - b='0.86'","InducedVoltage(PhaseC) [V] - b='0.88'","InducedVoltage(PhaseC) [V] - b='0.9'"
0.1,66.5466308668316,66.54848963768,66.4074149588301,66.2689776123437,66.0458499048222,65.9540849125229,65.5306921414189,65.3909711068323,65.230072414113,65.2114631664036,65.1994291340552,-234.006355195998,-234.022132433814,-234.176283299509,-234.322151112901,-234.555916330589,-234.657851468129,-235.081444116517,-235.221857690623,-235.387756972902,-235.411223627829,-235.424114998409,165.859093936183,165.8991227344,165.795409599928,165.693051896507,165.501694391323,165.435820714299,165.045461377525,164.927469562151,164.785564450134,164.784664268708,164.780979360371
0.11,68.0284644696216,67.9967735530584,67.8682820479115,68.0236569070514,67.7144491140147,67.4632372470507,67.338297303654,67.1348419203188,66.7373820680828,66.6947367880533,66.6336077919938,-234.248866379458,-234.300124032322,-234.443045245741,-234.299710959032,-234.618813663925,-234.878004050668,-235.008927804112,-235.21166735207,-235.610854632429,-235.658337649508,-235.721116721788,164.841561635232,164.850254360868,164.761260482216,164.950135286884,164.676419661591,164.456225574269,164.359222242727,164.182553451434,163.809302175741,163.785575813957,163.733302139862
0.12,68.1561210907844,67.9602554499892,67.8167117700634,67.9314920639218,67.4836631740727,67.4606212630935,67.0666348309035,67.1001929480386,66.97991426729,66.8041532634944,66.6861874591973,-235.827135327119,-236.04502919258,-236.204084135921,-236.097144748662,-236.55873133612,-236.591899102637,-236.989536238574,-236.955552159807,-237.081266936745,-237.259902870809,-237.377976039346,162.47554535338,162.322530258238,162.220634511273,162.374151085562,161.961517876424,161.970353614815,161.609197158244,161.669783546248,161.570843325307,161.415646113958,161.309013192187
0.13,69.5608880927179,69.3812210453337,69.6269183492915,69.3598656699157,68.911886269829,68.9395177678909,68.4942378674891,68.53153948293,68.3547833950027,68.3525685254649,68.1905740308464,-236.123073289457,-236.326272012263,-236.092069956026,-236.372885295366,-236.836158201073,-236.818223261598,-237.268483027916,-237.231005914221,-237.412920085076,-237.420704379299,-237.582380994825,161.374669022007,161.240078765557,161.529764219995,161.30310673548,160.891867989682,160.954384051559,160.543014974382,160.60902151688,160.455648913935,160.471806894086,160.322930780774
0.14,71.0855702127977,70.9548964017648,71.0550971715074,70.8906411191756,70.4838828189946,70.6552711778441,70.2123817471922,70.1104109396167,70.3354235748965,69.8831687434231,69.9492570140014,-236.287939057689,-236.443417345578,-236.357032599802,-236.535347006622,-236.958397339362,-236.797385738705,-237.247878032218,-237.348074315671,-237.123027591535,-237.585614011845,-237.523094782296,160.38841052339,160.304998701308,160.451359554431,160.328338712579,159.96004935098,160.170097210605,159.759500697679,159.690013557531,159.939933482672,159.508283675067,159.583306832181
0.15,72.8367463357416,73.0247808581608,72.8231826236325,72.7222286404261,72.4132036920733,72.5092575900532,72.0544848162419,72.3765834920953,71.9465506829275,71.8461441436946,71.7385893978684,-236.214889410957,-236.04952565994,-236.269401799588,-236.385614457085,-236.711723079641,-236.627413204865,-237.089741492622,-236.764773767564,-237.19914689582,-237.309590579399,-237.418664124042,159.62381959338,159.861298591901,159.707624392849,159.650290637905,159.382243494727,159.517463890879,159.097360525934,159.45079047103,159.049213687984,158.969772408743,158.873954348371
0.16,74.8238909166254,74.9726681906426,74.8633855741365,74.772683401414,74.5383657211718,74.4423564927599,74.7735342878253,74.2924453132399,74.2323547411328,73.8774915110929,73.8297635447416,-235.893871744022,-235.769357079071,-235.897719292272,-236.00486832778,-236.256932506435,-236.367044785518,-236.034630203569,-236.522217223728,-236.590494946973,-236.950642754041,-237.001727461017,159.091819539289,159.291855859342,159.233067069631,159.18776148762,158.996581246992,158.938508373313,159.308746043385,158.860594281574,158.826383983909,158.49848554822,158.462059943809
0.17,76.8986933291527,77.0224094211569,76.9327287437727,76.8533741880462,76.6596584843515,76.3691110529985,76.5469574402433,76.3759114777829,76.2109228846952,76.1702593545854,76.0111624776572,-235.468769753316,-235.370641913199,-235.480615111944,-235.577526639477,-235.789488790358,-236.095696731375,-235.920415985291,-236.095288490104,-236.267829908529,-236.317575983533,-236.47990223295,158.648589288141,158.825774676719,158.788651424968,158.756639233332,158.607791043203,158.355013775377,158.575494560881,158.439158908277,158.302045542999,158.28552490057,158.139210486577
0.18,78.5188538464598,78.6558602255072,78.5865424218823,78.5356425423545,78.37720484693,78.4490283475214,78.2718559470263,78.1030084194445,77.9290775055841,77.8149402799744,77.6933089707721,-235.489297712994,-235.379429235152,-235.470297856893,-235.539947913233,-235.717462879079,-235.656276416307,-235.84269534942,-236.016803278838,-236.198293109394,-236.320931808312,-236.44690901046,157.746274424222,157.939321325865,157.924554280284,157.922945075378,157.81100108524,157.92143017774,157.789389746868,157.656205113996,157.512023446651,157.423809110535,157.315323545179
0.19,79.750372306947,79.849389612674,79.7847781580208,79.7702897029517,79.6409777544027,79.5757240179939,79.5458555594597,79.3449495110676,79.1952945684959,79.0596208812555,78.9578479775732,-235.891294262855,-235.820897358158,-235.908378950149,-235.942886596008,-236.092685201258,-236.170420465842,-236.209169351384,-236.416097217346,-236.574055426042,-236.719131366658,-236.825626971845,156.451453205508,156.608344899384,156.60012120309,156.636862728063,156.555449147111,156.530628752397,156.547054174644,156.383020718978,156.264149882682,156.154852678222,156.067214578104
0.2,80.7696814934089,80.8401966857109,80.7614013451974,80.7532349531237,80.6150355525281,80.8325893377426,80.5351532097764,80.3493822981616,80.2001586502121,79.9870517363133,79.9298099615986,-236.493162116633,-236.452573889517,-236.555638352348,-236.585015417405,-236.745617980681,-236.538093340924,-236.847979561511,-237.040631552143,-237.198681515346,-237.422609699345,-237.48436811567,154.942620688256,155.072946592161,155.052252563034,155.097251948394,155.008106280105,155.271186154177,155.018021556488,154.870210701954,154.752980021858,154.565840772497,154.524389994826
