"Time [ms]","Moving1.Torque [NewtonMeter] - b='0.5'","Moving1.Torque [NewtonMeter] - b='0.52'","Moving1.Torque [NewtonMeter] - b='0.54'","Moving1.Torque [NewtonMeter] - b='0.56'","Moving1.Torque [NewtonMeter] - b='0.58'","Moving1.Torque [NewtonMeter] - b='0.6'","Moving1.Torque [NewtonMeter] - b='0.62'","Moving1.Torque [NewtonMeter] - b='0.64'","Moving1.Torque [NewtonMeter] - b='0.66'","Moving1.Torque [NewtonMeter] - b='0.68'","Moving1.Torque [NewtonMeter] - b='0.7'","Moving1.Torque [NewtonMeter] - b='0.72'","Moving1.Torque [NewtonMeter] - b='0.74'","Moving1.Torque [NewtonMeter] - b='0.76'","Moving1.Torque [NewtonMeter] - b='0.78'","Moving1.Torque [NewtonMeter] - b='0.8'","Moving1.Torque [NewtonMeter] - b='0.82'","Moving1.Torque [NewtonMeter] - b='0.84'","Moving1.Torque [NewtonMeter] - b='0.86'","Moving1.Torque [NewtonMeter] - b='0.88'","Moving1.Torque [NewtonMeter] - b='0.9'","Moving1.Torque [NewtonMeter] - b='0.92'","Moving1.Torque [NewtonMeter] - b='0.94'","Moving1.Torque [NewtonMeter] - b='0.96'","Moving1.Torque [NewtonMeter] - b='0.98'","Moving1.Torque [NewtonMeter] - b='1'"
0,-1.56956979917303,-1.14065634567615,-0.970948942465239,-0.615261531635654,-0.307555256195918,-0.0933865047976839,0.0507217217019595,0.246133557700357,0.321541267040618,0.31966543571477,0.627145039755585,0.679341396217671,0.59184650550662,0.31606791159553,-0.0360409140146458,-0.192749476498505,-0.506960164715322,-0.578051598228383,-0.601260610812693,-0.403240728299311,-0.1763008759124,-0.0292761685128666,0.00216445741120492,0.220848705934613,0.146428349966732,0.188076717327253
0.1,-2.57443656094453,-3.21472117860302,-3.5983575602571,-3.55141872135223,-1.44697147495415,-1.07072236414831,-0.429659771048375,0.506710998039441,1.41664374040266,2.12928021327884,2.9939748774553,3.18413972491875,3.02106484601825,0.336649627928226,-0.240403164387172,-0.648324117173562,-1.2148042493365,-1.56322505118772,-1.75575265226907,-1.32473612447682,-1.33801213127334,-1.22004101200172,-1.16066757442616,-0.884037797257482,-0.945632096724347,-0.917771266585407
0.2,-1.439798162617,-2.91265237772015,-4.22741867938339,-5.07811744680245,-2.70928284597834,-2.14613929181327,-1.07009852131759,0.36821288330964,1.71128191276588,2.71086796548125,3.4961734198988,3.72666773262207,3.58875063260836,0.117623813928283,-0.37112464646735,-0.673819260945271,-1.17072487548108,-1.55479067366588,-1.93090766327216,-1.96382374151464,-2.11127627107413,-2.05348669178391,-1.98834486457057,-1.65703491073913,-1.71160824900871,-1.60880595624823
0.3,-0.0889532512593874,-1.21293555054959,-2.36050595384356,-3.42767719923789,-1.82613042458952,-1.54695391960801,-0.891820363998721,-0.0849842667199262,0.8135497451449,1.72349759406168,2.15292072593083,2.4073558676654,2.45356504982081,0.158230699997337,-0.0864077602204461,-0.162897069647886,-0.582866941878651,-0.796160402978506,-1.24704224542725,-1.48749437131684,-1.72571491961772,-1.70830386210322,-1.79065522482359,-1.46344830008646,-1.57626822612537,-1.46111102070026
0.4,0.394904995496348,0.382591862927384,0.582314231648048,0.429765891120168,0.411526841556091,0.249413186755932,-0.00867236933131517,-0.396084348783992,-0.648109914074538,-0.561316148738533,-0.240510245355871,0.0568061020990024,0.260522134052801,0.11526061745307,0.229135077773673,0.37031402774261,0.169786201988374,0.20747983819042,0.0430290154863667,0.0441167068367877,-0.0904914384504914,-0.155782129863722,-0.406813479231942,-0.370405197671298,-0.492081675281541,-0.447956335636255
0.5,1.524732447503,2.89108968374873,3.81278778086516,3.99028927420822,2.25556524922887,1.81174379664365,0.745290983201188,-0.478986177389773,-1.41154670068681,-2.00250599923175,-2.29210985324387,-2.3465259217797,-2.2885758110175,0.0853236650789711,0.604973851833301,0.972849882776322,1.10921775707096,1.53713352890906,1.60856653531205,1.86885105816322,1.78035666739934,1.76323371020052,1.33447004517648,1.33935701669969,1.08851938038343,1.18569197782957
0.6,2.24849815287068,3.73440824187618,4.67112392176689,4.76889673641659,2.23152382728877,1.89098398455639,1.10707799324365,0.00831535835045369,-1.15694003577289,-2.14965981690892,-3.07459370812962,-3.66544230673735,-3.89767170247697,-0.333365327786016,0.349411469499627,0.953438803175964,1.39458400755691,1.9545068958178,2.21388478383347,2.29902573981449,2.28699360029562,2.26549128084776,2.00032632838815,1.99439551571645,2.00371746792138,2.03327918215294
0.7,1.77347107019821,2.6879024681206,3.28051419194954,3.39212590865255,1.28792013653239,1.3321481209741,1.1244376544983,0.489945756309651,-0.29096409747168,-1.2354333430843,-2.09655752462659,-2.91007822033857,-3.22638473811056,-0.181992258382426,0.233196605734848,0.59765934396129,0.953681518955154,1.26314630442561,1.55277581635064,1.62835404433923,1.6292583042525,1.72460349683131,1.74869683394792,1.80812246476532,1.98366787032473,1.90558466913261
0.8,-0.513745708801255,0.152960643973477,0.69900161330215,0.865193427141838,0.327994467394254,0.600619441833945,0.645173242138618,0.471833560786565,0.33579788053137,0.100035202378033,-0.0455460316117844,-0.400563455788958,-0.581798929919058,0.206055878835504,0.00143466231050382,-0.130548799033165,-0.140375951645555,-0.165033025894435,0.0260154926649524,-0.0391347942931851,0.0786668754270953,0.30411978175191,0.49838846964622,0.518279160909521,0.805339730630028,0.556446036442333
0.9,-1.92057627811934,-2.17137385117038,-2.07994197566546,-1.99342921578623,-0.643863298368162,-0.378682280608355,-0.0138060699957921,0.379695691505583,1.07358502500824,1.63558061686115,2.16734909327754,2.41972673972112,2.48016399289171,0.742911219721828,-0.00296031531571018,-0.50537968942534,-0.928660144921265,-1.20766211327511,-1.2290621635364,-1.16973162003635,-1.11396671962503,-0.82227166461877,-0.669092840601057,-0.658148704087281,-0.390009159466202,-0.699697609835353
