"Time [ms]","Current(PhaseA) [A] - b='0.7'","Current(PhaseA) [A] - b='0.72'","Current(PhaseA) [A] - b='0.74'","Current(PhaseA) [A] - b='0.76'","Current(PhaseA) [A] - b='0.78'","Current(PhaseA) [A] - b='0.8'","Current(PhaseA) [A] - b='0.82'","Current(PhaseA) [A] - b='0.84'","Current(PhaseA) [A] - b='0.86'","Current(PhaseA) [A] - b='0.88'","Current(PhaseA) [A] - b='0.9'","Current(PhaseB) [A] - b='0.7'","Current(PhaseB) [A] - b='0.72'","Current(PhaseB) [A] - b='0.74'","Current(PhaseB) [A] - b='0.76'","Current(PhaseB) [A] - b='0.78'","Current(PhaseB) [A] - b='0.8'","Current(PhaseB) [A] - b='0.82'","Current(PhaseB) [A] - b='0.84'","Current(PhaseB) [A] - b='0.86'","Current(PhaseB) [A] - b='0.88'","Current(PhaseB) [A] - b='0.9'","Current(PhaseC) [A] - b='0.7'","Current(PhaseC) [A] - b='0.72'","Current(PhaseC) [A] - b='0.74'","Current(PhaseC) [A] - b='0.76'","Current(PhaseC) [A] - b='0.78'","Current(PhaseC) [A] - b='0.8'","Current(PhaseC) [A] - b='0.82'","Current(PhaseC) [A] - b='0.84'","Current(PhaseC) [A] - b='0.86'","Current(PhaseC) [A] - b='0.88'","Current(PhaseC) [A] - b='0.9'"
9.46999999999978,-15.6267526166989,-14.9861828224365,-14.3866461694326,-13.8420477990811,-13.343573634768,-12.891943661705,-12.4549081934872,-12.0690571150092,-11.7440947401701,-11.4544262478573,-11.2813860505111,-1.19370991934119,-1.8193765529471,-2.40223671448022,-2.93757867479571,-3.43341700518892,-3.88668170445795,-4.32941251280777,-4.71191599321471,-5.04614031246562,-5.34169552515389,-5.52202725483766,16.8204625360401,16.8055593753836,16.7888828839128,16.7796264738768,16.7769906399569,16.7786253661629,16.784320706295,16.7809731082239,16.7902350526357,16.7961217730112,16.8034133053488
9.47999999999978,-15.4690339679957,-14.8266361557525,-14.2258905280623,-13.6799615472111,-13.1809745037065,-12.7283159095337,-12.2913324002861,-11.9039745460945,-11.5784706836466,-11.2890747673205,-11.1161308357245,-1.38778791788138,-2.00810504799128,-2.58605411717081,-3.11694207933651,-3.60915389363339,-4.05816473428344,-4.49746738026971,-4.87657032768368,-5.2070925310551,-5.50069296180752,-5.67857262995347,16.8568218858771,16.8347412037437,16.8119446452331,16.7969036265476,16.7901283973399,16.7864806438171,16.7887997805558,16.7805448737782,16.7855632147017,16.7897677291281,16.7947034656779
9.48999999999978,-15.3101996800426,-14.666214560727,-14.0643337369887,-13.5170960550973,-13.017505899,-12.5634893521706,-12.126858510789,-11.7393514421101,-11.4124108254062,-11.1236179580504,-10.951599526654,-1.58101645945791,-2.195831765559,-2.76869461320676,-3.29504234652651,-3.78337690904627,-4.22830418750405,-4.66389206000068,-5.03880587222127,-5.36647131237016,-5.65779744563505,-5.83258452039858,16.8912161395005,16.862046326286,16.8330283501955,16.8121384016238,16.8008828080463,16.7917935396747,16.7907505707897,16.7781573143313,16.7788821377764,16.7814154036854,16.7841840470526
9.49999999999978,-15.1513053605472,-14.5060376783366,-13.9028829864623,-13.3543877867296,-12.8540417416428,-12.3989850040376,-11.962999358325,-11.5749147121032,-11.2477199487305,-10.9589757754462,-10.7872529285549,-1.77267897023068,-2.38192228860206,-2.94970001932471,-3.47141317142907,-3.95540308705602,-4.39685509437621,-4.82836699721474,-5.19903114825927,-5.52337293614981,-5.81238443918861,-5.98429979321321,16.9239843307779,16.8879599669387,16.852583005787,16.8258009581587,16.8094448286988,16.7958400984138,16.7913663555397,16.7739458603625,16.7710928848803,16.7713602146348,16.7715527217681
9.50999999999978,-14.9939296863523,-14.3471387036971,-13.7428775763372,-13.1932501666908,-12.6920825958269,-12.2363746706187,-11.8004509281619,-11.4120431164935,-11.0852308167709,-10.797623074662,-10.6245675641311,-1.96286360242879,-2.56677853410239,-3.12942022606584,-3.64646499513441,-4.12562697656509,-4.56337280207059,-4.99059213846359,-5.35777494514706,-5.67925378936483,-5.96420388718181,-6.13340535777981,16.9567932887811,16.9139172377995,16.872297802403,16.8397151618252,16.817709572392,16.7997474726892,16.7910430666254,16.7698180616406,16.7644846061358,16.7618269618438,16.7579729219109
9.51999999999978,-14.8372426957782,-14.1888971162876,-13.583577604551,-13.033038361232,-12.5317689689241,-12.0769009714795,-11.6396863966616,-11.2513603425622,-10.9241708695551,-10.6368447118013,-10.462485396486,-2.15168867434219,-2.75026916839922,-3.30774613718095,-3.82004855631019,-4.29397476425696,-4.72947367318753,-5.15070085378705,-5.51490626380006,-5.83186835482168,-6.1132066583569,-6.28079193773563,16.9889313701204,16.9391662846868,16.8913237417319,16.8530869175422,16.8257437331811,16.8063746446671,16.7903872504487,16.7662666063622,16.7560392243768,16.7500513701582,16.7432773342216
9.52999999999978,-14.6799083629016,-14.0306873554388,-13.4251782167968,-12.8741843432531,-12.3723089695886,-11.9172112769729,-11.4791235573761,-11.0910114223092,-10.7628533780813,-10.4752910013382,-10.3000559128567,-2.33964879706007,-2.93253260142764,-3.48333946988118,-3.99065853796347,-4.46013169888984,-4.89193286275824,-5.30775166148376,-5.66840220704905,-5.98310636307152,-6.26118387932244,-6.42678463344985,17.0195571599616,16.9632199568664,16.9085176866779,16.8648428812165,16.8324406684785,16.8091441397311,16.7868752188598,16.7594136293582,16.7459597411528,16.7364748806606,16.7268405463065
9.53999999999978,-14.5223536529662,-13.8715861261266,-13.2646667371749,-12.7131669726344,-12.2109587234613,-11.7556743696672,-11.3171055002504,-10.9286846209255,-10.6000716144307,-10.312124145662,-10.1361334434561,-2.52535929789909,-3.11225275278149,-3.65886918249148,-4.16109574684495,-4.62622361336223,-5.05457202227427,-5.4657427081922,-5.82233460334559,-6.13365328669216,-6.40883693140777,-6.57220988968553,17.0477129508653,16.9838388789081,16.9235359196664,16.8742627194794,16.8371823368235,16.8102463919414,16.7828482084426,16.7510192242711,16.7337249011229,16.7209610770698,16.7083433331416
9.54999999999978,-14.3580426994762,-13.7064058532841,-13.098717204843,-12.5462098530976,-12.0455774671101,-11.5894284418133,-11.1499807840357,-10.7612522797839,-10.4322834523634,-10.1446008409523,-9.96860091828861,-2.71436556288926,-3.29516124144735,-3.83633444658472,-4.33381021256919,-4.79768854567953,-5.22071639492594,-5.62698048747123,-5.97903687272665,-6.28682504067724,-6.55933716403335,-6.71981072010657,17.0724082623655,17.0015670947314,16.9350516514277,16.8800200656667,16.8432660127896,16.8101448367393,16.7769612715069,16.7402891525105,16.7191084930407,16.7039380049857,16.6884116383952
9.55999999999978,-14.1924719027643,-13.540012692396,-12.9316684330604,-12.3790759291336,-11.8790088771254,-11.4222024096743,-10.9821055207337,-10.5930608975626,-10.2636854560086,-9.97630901346642,-9.80004419093874,-2.90301604554978,-3.47763701613249,-4.0132935464114,-4.50675697305484,-4.96759346745968,-5.38590584602113,-5.78719034104897,-6.13465735679979,-6.43895569531354,-6.70889746094304,-6.86651321145229,17.095487948314,17.0176497085285,16.9449619794718,16.8858329021885,16.8466023445851,16.8081082556954,16.7692958617827,16.7277182543624,16.7026411513222,16.6852064744095,16.666557402391
9.56999999999978,-14.0268678299246,-13.3735838572778,-12.7646380597005,-12.2135077850117,-11.7126311878249,-11.2552282101729,-10.8144672393068,-10.4251638556841,-10.0954839495532,-9.80799782374635,-9.63136880357995,-3.09103346522278,-3.65951418819223,-4.18961304305171,-4.68064860505019,-5.13619219519738,-5.54968134683109,-5.94608912615046,-6.28904331109745,-6.59000775367084,-6.85715678870555,-7.01217139745104,17.1179012951474,17.03309804547,16.9542511027522,16.8941563900619,16.8488233830223,16.804909557004,16.7605563654573,16.7142071667816,16.685491703224,16.6651546124519,16.643540201031
9.57999999999978,-13.8620659489978,-13.207893173139,-12.5988992084999,-12.0482243183165,-11.5469783206989,-11.0892693315603,-10.6476755833483,-10.2583330816474,-9.92806999032363,-9.64048145479091,-9.46314417280324,-3.27820966211489,-3.84069942113092,-4.36592436640114,-4.85263089722349,-5.30323477956944,-5.71173267493349,-6.10346928014868,-6.44226596142158,-6.73988112146283,-7.00399183550812,-7.15673741834974,17.1402756111127,17.0485925942699,16.964823574901,16.90085521554,16.8502131002683,16.8010020064938,16.751144863497,16.7005990430689,16.6679511117865,16.644473290299,16.619881591153
9.58999999999978,-13.6979201739047,-13.0427693013999,-12.4345350585456,-11.8834157010899,-11.3818005755847,-10.9242286930227,-10.4815517098556,-10.0921671212751,-9.7612980448912,-9.47375137976277,-9.29520888766503,-3.46439262428565,-4.021083268644,-4.54244555936154,-5.02337938874737,-5.46866770043947,-5.87199198114123,-6.25927047932394,-6.59425590635217,-6.88872698865004,-7.14942845989549,-7.30028055324366,17.1623127981903,17.0638525700439,16.9769806179071,16.9067950898373,16.8504682760241,16.7962206741639,16.7408221891795,16.6864230276273,16.6500250335412,16.6231798396583,16.5954894409087
9.59999999999978,-13.5341452215665,-12.875822082169,-12.2682123713178,-11.7167260567669,-11.2148421537758,-10.756869423727,-10.3137496857132,-9.92419586371011,-9.59276850813731,-9.30552178397808,-9.12591940604737,-3.64982213821988,-4.20188289803707,-4.71904789535013,-5.19445563702208,-5.63433507738591,-6.03298832549996,-6.41530323471274,-6.74673093611419,-7.03803323593791,-7.29527419146111,-7.44423927668887,17.1839673597864,17.077704980206,16.9872602666679,16.911181693789,16.8491772311617,16.789857749227,16.7290529204259,16.6709267998243,16.6308017440752,16.6007959754392,16.5701586827362
9.60999999999978,-13.3678782670224,-12.709425682322,-12.1006732731054,-11.5488176268941,-11.0467491244585,-10.5879434064555,-10.1448286410437,-9.75505247667156,-9.42324286707537,-9.13631116252606,-8.95580776519648,-3.83520070727472,-4.38180194155183,-4.89478492437892,-5.3647052323544,-5.79929531038761,-6.19367672298232,-6.57065619923546,-6.89848164125848,-7.18632194820179,-7.44024703300599,-7.58720164249646,17.2030789742972,17.0912276238739,16.9954581974843,16.9135228592485,16.8460444348462,16.7816201294378,16.7154848402791,16.65353411793,16.6095648152772,16.576558195532,16.5430094076929
9.61999999999978,-13.2008489803091,-12.541997435718,-11.9325244310755,-11.3804454332793,-10.878088581256,-10.418267179157,-9.97531792274425,-9.58534980712706,-9.25330015310451,-8.96646086594666,-8.78533720230687,-4.01884375667179,-4.55971978251824,-5.0682660632651,-5.53277749723409,-5.96208383301264,-6.35233222414701,-6.7238342256175,-7.04776893090167,-7.33186455798132,-7.58280407164117,-7.72753296467805,17.2196927369808,17.1017172182362,17.0007904943406,16.9132229305134,16.8401724142687,16.770599403304,16.6991521483617,16.6331187380287,16.5851647110858,16.5492649375878,16.5128701669849
9.62999999999978,-13.0319792676726,-12.3742509291231,-11.7628765048259,-11.2103033135858,-10.7078757635157,-10.2464217846383,-9.80421569519264,-9.41408935153756,-9.08176492657724,-8.79493648370727,-8.61342987348307,-4.20146052163941,-4.73813950368056,-5.24029565731569,-5.69923121637141,-6.12333534991079,-6.50973993692458,-6.87540704604159,-7.19512286060111,-7.475488657198,-7.72372064538466,-7.86603200321248,17.233439789312,17.1123904328037,17.0031721621416,16.9095345299572,16.8312111134265,16.7561617215628,16.6796227412342,16.6092122121387,16.5572535837752,16.5186571290919,16.4794618766955
9.63999999999978,-12.8604052882335,-12.203543457399,-11.5928072795922,-11.03750289332,-10.5352227303705,-10.0712363602264,-9.63065255509725,-9.24044244835464,-8.90761048120725,-8.62107790643986,-8.43916042263742,-4.38401126272181,-4.91541056531856,-5.41080049018255,-5.86526010959306,-6.28398029448995,-6.66692154172517,-7.02625420289623,-7.34151431096776,-7.61852112667974,-7.86403615769527,-8.00381223655775,17.2444165509553,17.1189540227176,17.0036077697747,16.9027630029131,16.8192030248605,16.7381579019516,16.6569067579935,16.5819567593224,16.526131607887,16.4851140641351,16.4429726591952
9.64999999999978,-12.6870291865671,-12.0305510516268,-11.4204742391265,-10.8624391482258,-10.3603981597619,-9.89350856430454,-9.45496527338804,-9.06484660668588,-8.731265628594,-8.44541253843758,-8.26302769130424,-4.56831293987497,-5.09343894168155,-5.58213320277763,-6.03220238575629,-6.44533343423383,-6.82488109277163,-7.1777441098736,-7.4884229695564,-7.76249476039377,-8.00501086419898,-8.14227392178536,17.2553421264421,17.1239899933083,17.0026074419041,16.8946415339821,16.8057315939958,16.7183896570762,16.6327093832616,16.5532695762423,16.4937603889878,16.4504234026366,16.4053016130896
9.65999999999977,-12.5193105229203,-11.8622177128798,-11.251964619999,-10.6961088320002,-10.1904526726123,-9.72736674284081,-9.28503936510463,-8.89556357118227,-8.56207006065959,-8.27414251668308,-8.09251997456346,-4.75821600065838,-5.27633625598991,-5.75879337301998,-6.20202630756352,-6.61217690029696,-6.98429434727106,-7.33490890934074,-7.64077781811279,-7.91059771059022,-8.15111693910293,-8.28511105314795,17.2775265235787,17.1385539688697,17.0107579930189,16.8981351395637,16.8026295729093,16.7116610901119,16.6199482744454,16.5363413892951,16.4726677712498,16.425259455786,16.3776310277114
9.66999999999977,-12.3486724194499,-11.6904804371696,-11.0803337465577,-10.5249354023664,-10.0191559926155,-9.5566884809592,-9.11199869754687,-8.7231404308457,-8.38927820895706,-8.10029089864141,-7.91901432125576,-4.94614258530154,-5.4573861899556,-5.9334289373544,-6.37039559393832,-6.77599088979526,-7.1421649467316,-7.48934239700116,-7.79000829157258,-8.05635179522873,-8.29483614115484,-8.42552414607763,17.2948150047514,17.1478666271252,17.0137626839121,16.8953309963047,16.7951468824108,16.6988534276908,16.601341094548,16.5131487224183,16.4456300041858,16.3951270397962,16.3445384673334
9.67999999999977,-12.1752538286153,-11.5172172667976,-10.9073064177811,-10.3520373802189,-9.84549230515579,-9.38396097782038,-8.93670110915657,-8.54902742283153,-8.213911570022,-7.92492121843791,-7.74394878680117,-5.13226958755855,-5.63580333662672,-6.10526411321764,-6.53604536420461,-6.93753637989468,-7.29783820261776,-7.64108917959015,-7.93589221699862,-8.19929010297377,-8.43572730604384,-8.56302115520681,17.3075234161739,17.1530206034243,17.0125705309987,16.8880827444235,16.7830286850505,16.6817991804381,16.5777902887467,16.4849196398302,16.4132016729958,16.3606485244818,16.306969942008
9.68999999999977,-12.0003865962339,-11.3426248713934,-10.7329144132702,-10.1777564262731,-9.67092102615488,-9.20913169929788,-8.76097878657032,-8.37311414595933,-8.03777918986568,-7.74796744564275,-7.56780426086995,-5.31651863446789,-5.81206303757016,-6.27481564012423,-6.69947437707926,-7.09688299708966,-7.45190898132572,-7.79024500310889,-8.07952016123912,-8.33941332658614,-8.57431249080425,-8.69893207928877,17.3169052307017,17.1546879089636,17.0077300533944,16.8772308033524,16.7678040232445,16.6610406806236,16.5512237896792,16.4526343071984,16.3771925164518,16.322279936447,16.2667363401587
9.69999999999977,-11.8253162826706,-11.1676914823458,-10.5587451181282,-10.0035750868799,-9.49668113925813,-9.03444608932849,-8.58442019319721,-8.19677755004426,-7.86126387547951,-7.57053803862582,-7.39298771915643,-5.49941977314992,-5.98712157370077,-6.44285407574338,-6.86147885699298,-7.2544157094794,-7.60440757175475,-7.93821345262915,-8.22243436777183,-8.47899117532938,-8.71137372257724,-8.83209237532778,17.3247360558205,17.1548130560466,17.0015991938716,16.8650539438729,16.7510968487375,16.6388536610832,16.5226336458264,16.4192119178161,16.3402550508089,16.2819117612031,16.2250800944842
9.70999999999977,-11.6480555527582,-10.9902704543477,-10.3818540582194,-9.82664317804318,-9.31991713971721,-8.85655048636245,-8.40793381040639,-8.01810720085266,-7.68347137089518,-7.39350388310735,-7.21463701414298,-5.68316605754764,-6.1636234411004,-6.61246041873898,-7.02507353029451,-7.41285035687277,-7.75844037374976,-8.0859836686424,-8.36686565526426,-8.61925366284039,-8.8480545890329,-8.96824005608994,17.3312216103058,17.1538938954481,16.9943144769583,16.8517167083377,16.73276749659,16.6149908601122,16.4939174790488,16.3849728561169,16.3027250337356,16.2415584721403,16.1828770702329
9.71999999999977,-11.4698918367621,-10.8116274038892,-10.2037369622174,-9.6483099850678,-9.14189793079223,-8.6772486905338,-8.22956646144173,-7.84092960822555,-7.50381388999579,-7.21436795091872,-7.03431218610378,-5.86790885685603,-6.34173143371561,-6.78373330136623,-7.19043116552979,-7.57225304824361,-7.9135149503515,-8.23572549248253,-8.51172576711501,-8.76195314034928,-8.98720671432103,-9.1065477229942,17.3378006936181,17.1533588376048,16.9874702635836,16.8387411505976,16.7141509790358,16.5907636408853,16.4652919539243,16.3526553753406,16.2657670303451,16.2015746652398,16.140859909098
9.72999999999977,-11.293164892862,-10.6342732388049,-10.0269384466546,-9.47123086121162,-8.96497322060461,-8.49958536204783,-8.0535758864993,-7.66437627995353,-7.32725723322964,-7.03625684356594,-6.85657371010927,-6.05209432553958,-6.51950876360242,-6.95469256116149,-7.3555309608825,-7.73096879363392,-8.06742976952348,-8.38386797524823,-8.65686138422152,-8.90450642539456,-9.12591441647765,-9.24390160881008,17.3452592184016,17.1537820024074,16.9816310078161,16.8267618220941,16.6959420142385,16.5670151315713,16.4374438617475,16.321237664175,16.2317636586242,16.1621712600436,16.1004753189193
9.73999999999977,-11.117329579744,-10.4578833170095,-9.85116335575997,-9.29530104264491,-8.78945530075389,-8.32350504758975,-7.87887363157604,-7.48933108746076,-7.15154111976137,-6.86115546714048,-6.67959896596247,-6.2349402705389,-6.69580190752609,-7.12413296194318,-7.51908070262261,-7.88717852249928,-8.21873407910751,-8.52972758208778,-8.80123292486453,-9.04521839908539,-9.26157400467751,-9.37896242444073,17.3522698502829,17.1536852245356,16.9752963177032,16.8143817452675,16.6766338232532,16.5422391266973,16.4086012136638,16.2905640123253,16.1967595188468,16.122729471818,16.0585613904032
9.74999999999977,-10.9436532857521,-10.2820828204644,-9.67602879427204,-9.12021672786839,-8.61403780578127,-8.14920117855071,-7.70463844691912,-7.31484531917303,-6.976717782683,-6.68575701491573,-6.50272728549955,-6.4138257860047,-6.86885937060561,-7.29033082102639,-7.67926299642713,-8.04192865059989,-8.36752321638792,-8.67461790616358,-8.94192228742214,-9.18229401768318,-9.39562971720729,-9.512160165347,17.3574790717568,17.15094219107,16.9663596152984,16.7994797242955,16.6559664563812,16.5167243949386,16.3792563530827,16.2567676065952,16.1590118003662,16.081386732123,16.0148874508466
9.75999999999977,-10.7672202613414,-10.1055619547715,-9.49921868595179,-8.94355885647117,-8.43857177719248,-7.97278469108911,-7.52886336248588,-7.13883776476035,-6.80028395727754,-6.50894566103873,-6.32465071616253,-6.5931078953066,-7.04095959342222,-7.4559285020942,-7.83864141903885,-8.1948906996746,-8.51580672562117,-8.81812490847034,-9.08166823236417,-9.31857463267448,-9.5286501092461,-9.64400885728237,17.360328156648,17.1465215481937,16.955147188046,16.78220027551,16.6334624768671,16.4885914167103,16.3469882709562,16.2205059971245,16.118858589952,16.0375957702848,15.9686595734449
9.76999999999977,-10.5850949232862,-9.92348561427318,-9.31723279017563,-8.7612840305444,-8.25779468962141,-7.79132318213346,-7.34795667245325,-6.9577169021562,-6.61848376086166,-6.3269347562697,-6.14194400155679,-6.7748413171925,-7.21499425883206,-7.62310017152,-7.99978944822588,-8.34986435506023,-8.66597679900716,-8.96321211654435,-9.22220761564681,-9.45608226143269,-9.66330525985744,-9.77697821794044,17.3599362404787,17.1384798731052,16.9403329616956,16.7610734787703,16.6076590446816,16.4572999811406,16.3111687889976,16.179924517803,16.0745660222944,15.9902400161271,15.9189222194972
9.77999999999977,-10.402006643819,-9.74044773643463,-9.13422825694946,-8.58094887885602,-8.07626706549349,-7.60886590051127,-7.16622444189065,-6.77569206954133,-6.43581579073068,-6.14408330329583,-5.95822275878102,-6.95600350676295,-7.38847606375317,-7.78973218861207,-8.1585596460357,-8.50409494039614,-8.81555903028585,-9.10754548184367,-9.36219460983259,-9.59300371333382,-9.79735705520487,-9.90947753637554,17.3580101505819,17.1289238001878,16.9239604455615,16.7395085248917,16.5803620058896,16.4244249307971,16.2737699237343,16.1378866793739,16.0288195040645,15.9414403585007,15.8677002951566
9.78999999999977,-10.2193132821829,-9.55773414305775,-8.95344698635826,-8.39978137098552,-7.89511250336763,-7.42695708159126,-6.98478694735584,-6.59385814171895,-6.25339402870181,-5.96137439699536,-5.77463177868584,-7.13627765206942,-7.56118660413315,-7.95441991829479,-8.31725808180245,-8.65732197756993,-8.96453361333998,-9.25098876492765,-9.50156243353727,-9.72919993427982,-9.93066319884464,-10.041497650699,17.3555909342523,17.1189207471909,16.9078669046531,16.717039452788,16.5524344809376,16.3914906949312,16.2357757122835,16.0954205752562,15.9825939629816,15.89203759584,15.8161294293849
9.79999999999977,-10.0381367094655,-9.37791618833202,-8.77329679857518,-8.21979396840683,-7.71538353909071,-7.24636376627586,-6.80456189166169,-6.41322330687311,-6.07224238367015,-5.77984608010683,-5.59196364710579,-7.31508028230048,-7.73177227410729,-8.11836200110406,-8.47479377677896,-8.80929417809812,-9.11165082769251,-9.39318707608811,-9.64007344757981,-9.86451160788197,-10.062837078164,-10.1725483200819,17.353216991766,17.1096884624393,16.8916587996792,16.6945877451858,16.5246777171888,16.3580145939684,16.1977489677498,16.0532967544529,15.9367539915521,15.8426831582708,15.7645119671877
9.80999999999977,-9.85889999699685,-9.19969456068368,-8.59460926015981,-8.04123422761842,-7.53702287596081,-7.06764444930151,-6.6257766773387,-6.23405492846328,-5.89254783585516,-5.59989603745156,-5.41056345998988,-7.49189219678466,-7.90071551934325,-8.28073382041495,-8.63075173257343,-8.95923714678683,-9.2564327419183,-9.53364935698846,-9.77716603070044,-9.99827838529874,-10.1932146760436,-10.3019794527568,17.3507921937815,17.1004100800269,16.8753430805748,16.6719859601919,16.4962600227476,16.3240771912198,16.1594260343272,16.0112209591637,15.8908262211539,15.7931107134952,15.7125429127467
9.81999999999977,-9.68126142679818,-9.02126711893752,-8.41592370179491,-7.86283705238374,-7.35863998270303,-6.88866325730079,-6.44706506470708,-6.05503804823055,-5.71303622698521,-5.41995422128921,-5.22893044887572,-7.66609177151829,-8.0679318537249,-8.44123027007689,-8.78501471371984,-9.10762542470645,-9.39942333863683,-9.67235978690724,-9.91213032007511,-10.1300683748487,-10.3218393284091,-10.4303793443873,17.3473531983165,17.0891989726624,16.8571539718718,16.6478517661036,16.4662654074095,16.2880865959376,16.1194248516143,15.9671683683057,15.8431046018339,15.7417935496984,15.6593097932631
9.82999999999977,-9.50264795575495,-8.8424955449989,-8.23697882909911,-7.68416226146869,-7.17992700848483,-6.70998829126834,-6.26805057135386,-5.87570570962323,-5.53320175063555,-5.2396629463129,-5.04720381716333,-7.83945606996033,-8.233784490613,-8.60026021055173,-8.93777437289702,-9.25471137604621,-9.5407432364955,-9.80965597419599,-10.0455263832574,-10.2602630534324,-10.4489766556867,-10.5570184709963,17.3421040257153,17.0762800356119,16.8372390396508,16.6219366343657,16.434638384531,16.2507315277638,16.0777065455499,15.9212320928806,15.7934648040679,15.6886396019996,15.6042222881596
9.83999999999977,-9.32313047194048,-8.66284937148213,-8.05734026058236,-7.50445061684582,-7.00014671128935,-6.52965019068566,-6.08792785253003,-5.69517483799879,-5.35222748154304,-5.05834551113395,-4.86448709836378,-8.01176530418024,-8.39846387404393,-8.75826371340471,-9.08940576728967,-9.40064287045428,-9.68139875115837,-9.94571775677015,-10.1776690186767,-10.3890884644216,-10.5746932831989,-10.6821752335461,17.3348957761207,17.0613132455261,16.8156039739871,16.5938563841355,16.4007895817436,16.211048941844,16.0336456093002,15.8728438566755,15.7413159459647,15.6330387943328,15.5466623319099
9.84999999999977,-9.141610326655,-8.48125438166695,-7.87574200013828,-7.32246776337426,-6.8181542759952,-6.34606366309006,-5.90548602346307,-5.51225230233404,-5.16887489863353,-4.87491034659236,-4.67955652311663,-8.18346926659448,-8.56238630514136,-8.91532921816005,-9.24043624015224,-9.54589422344415,-9.82213123575186,-10.081050170206,-10.3089667535413,-10.5170219732654,-10.6995977646095,-10.8065741306174,17.3250795932495,17.0436406868083,16.7910712182983,16.5629040035265,16.3640484994393,16.1681948988419,15.986536193669,15.8212190558754,15.6858968718989,15.5745081112019,15.4861306537341
9.85999999999977,-8.95753089976418,-8.29720936393916,-7.69168243129999,-7.13741366312239,-6.63328837525714,-6.15823645223009,-5.71996239585929,-5.326226404118,-4.98236322636421,-4.68885680451336,-4.49173393585101,-8.3548795649799,-8.72598281256051,-9.07191118735531,-9.39135711801826,-9.69079282707137,-9.96340689904494,-10.2161410523349,-10.439897368047,-10.6446735051186,-10.8242875942247,-10.9309973620733,17.3124104647441,17.0231921764997,16.7635936186553,16.5287707811406,16.3240812023285,16.121643351275,15.9361034481942,15.766123772165,15.6270367314828,15.513144398738,15.4227312979243
9.86999999999977,-8.77223164431161,-8.11198366375647,-7.50646146945683,-6.9510337645879,-6.44704743764597,-5.9689213052666,-5.53295556883691,-5.13888063789153,-4.79444726081266,-4.50152675984146,-4.30245823711623,-8.52677062675853,-8.88995606272993,-9.22885500002472,-9.54271628416751,-9.83614505320484,-10.1051663038565,-10.3519162230535,-10.5714602756796,-10.773129109024,-10.9498685415405,-11.0565716053569,17.2990022710701,17.0019397264864,16.7353164694815,16.4937500487554,16.2831924908508,16.0740876091231,15.8848717918904,15.7103409135711,15.5675763698366,15.4513953013819,15.3590298424731
9.87999999999977,-8.59166951980611,-7.93168157518131,-7.32603697609752,-6.77177576161033,-6.2664683936435,-5.79106246291492,-5.35229378821071,-4.95862674758083,-4.61244834769626,-4.31832435841306,-4.11892201468152,-8.70076280295118,-9.05588848714896,-9.38774685794498,-9.69448756580859,-9.98364066698427,-10.2457649658969,-10.4897628778727,-10.7052591420994,-10.9061678721489,-11.0784431651201,-11.1847102114845,17.2924323227573,16.9875700623303,16.7137838340425,16.4662633274189,16.2501090606278,16.0368274288119,15.8420566660834,15.6638858896802,15.5186162198452,15.3967675235331,15.303632226166
9.88999999999977,-8.40873511436176,-7.74873719789213,-7.14294887240657,-6.5890430267509,-6.08313819298315,-5.6089182992078,-5.16859916580185,-4.77498743729842,-4.42703832028066,-4.1326714569038,-3.93205719977306,-8.87284360948948,-9.21949493758846,-9.54431804059265,-9.844341855209,-10.1285990485666,-10.3853229808718,-10.6253947246005,-10.8364353179617,-11.0364744191579,-11.2045616673916,-11.3109028324663,17.2815787238512,16.9682321354806,16.6872669129992,16.4333848819599,16.2117372415497,15.9942412800796,15.7939938904023,15.6114227552601,15.4635127394386,15.3372331242954,15.2429600322393
9.89999999999976,-8.22364258490832,-7.56368119911887,-6.95771070572202,-6.40360963170818,-5.89750982134003,-5.42317472032895,-4.98230689095166,-4.58670951907803,-4.23891908255498,-3.94491252259796,-3.74295660575983,-9.04308575432766,-9.38132599572072,-9.69910625277762,-9.9927762251237,-10.2718667984157,-10.5243600655648,-10.759129808454,-10.9689978346187,-11.1647142348398,-11.3286392823646,-11.4351541147771,17.266728339236,16.9450071948396,16.6568169584996,16.3963858568319,16.1693766197558,15.9475347858938,15.7414366994057,15.5557073536967,15.4036333173948,15.2735518049626,15.1781107205369
9.90999999999976,-8.03789752043338,-7.37736064595969,-6.77112688948229,-6.21655745627835,-5.71037886864256,-5.23520533248191,-4.79445355739513,-4.39760140698871,-4.04924327741981,-3.7558150259629,-3.55269799741797,-9.21205614431021,-9.54215942612074,-9.85289528336655,-10.1404777877639,-10.4142805281165,-10.6631195915744,-10.8918349395097,-11.0988605628019,-11.2915487631894,-11.4514010673311,-11.5578838227247,17.2499536647436,16.9195200720804,16.6240221728488,16.3570352440422,16.124659396759,15.8983249240563,15.6862884969049,15.4964619697906,15.3407920406092,15.207216093294,15.1105818201427
