"Time [ms]","Current(PhaseA) [A] - b='0.7'","Current(PhaseA) [A] - b='0.72'","Current(PhaseA) [A] - b='0.74'","Current(PhaseA) [A] - b='0.76'","Current(PhaseA) [A] - b='0.78'","Current(PhaseA) [A] - b='0.8'","Current(PhaseA) [A] - b='0.82'","Current(PhaseA) [A] - b='0.84'","Current(PhaseA) [A] - b='0.86'","Current(PhaseA) [A] - b='0.88'","Current(PhaseA) [A] - b='0.9'","Current(PhaseB) [A] - b='0.7'","Current(PhaseB) [A] - b='0.72'","Current(PhaseB) [A] - b='0.74'","Current(PhaseB) [A] - b='0.76'","Current(PhaseB) [A] - b='0.78'","Current(PhaseB) [A] - b='0.8'","Current(PhaseB) [A] - b='0.82'","Current(PhaseB) [A] - b='0.84'","Current(PhaseB) [A] - b='0.86'","Current(PhaseB) [A] - b='0.88'","Current(PhaseB) [A] - b='0.9'","Current(PhaseC) [A] - b='0.7'","Current(PhaseC) [A] - b='0.72'","Current(PhaseC) [A] - b='0.74'","Current(PhaseC) [A] - b='0.76'","Current(PhaseC) [A] - b='0.78'","Current(PhaseC) [A] - b='0.8'","Current(PhaseC) [A] - b='0.82'","Current(PhaseC) [A] - b='0.84'","Current(PhaseC) [A] - b='0.86'","Current(PhaseC) [A] - b='0.88'","Current(PhaseC) [A] - b='0.9'"
0.1,1.7238139739698,1.74309957296983,1.76648014110722,1.79065673582817,1.8122465230856,1.82649528584561,1.85393823928047,1.87479779444544,1.88757238323717,1.89666812985937,1.90589954782491,-1.56948485309741,-1.50067226720979,-1.44298670854289,-1.39494347905391,-1.34997971793347,-1.30804156966107,-1.27653043364555,-1.2560458722061,-1.2305937905854,-1.20165597464901,-1.19500309940354,-0.154329120872396,-0.242427305760036,-0.323493432564334,-0.395713256774259,-0.462266805152132,-0.518453716184535,-0.577407805634918,-0.618751922239339,-0.65697859265177,-0.695012155210365,-0.710896448421372
0.11,1.89248344503049,1.91327457027187,1.93843950414635,1.96338377457385,1.98721270308795,2.00442323655179,2.03215664941578,2.05584871058844,2.07171945451873,2.08255469550118,2.0918405090581,-1.71904860625653,-1.6435987111602,-1.57993911248375,-1.52676343191873,-1.47666013960731,-1.43103597886764,-1.39564242121877,-1.37277544535684,-1.34529047273302,-1.31473138484184,-1.30635800073145,-0.173434838773965,-0.269675859111671,-0.358500391662594,-0.436620342655122,-0.510552563480644,-0.573387257684149,-0.636514228197005,-0.683073265231597,-0.726428981785707,-0.767823310659337,-0.785482508326643
0.12,2.06545254756153,2.08747563109574,2.11435721611623,2.14220750751229,2.16686242279297,2.18618309002309,2.21589890250952,2.24189467968946,2.25870771447454,2.27183600162612,2.28213705226929,-1.86872652483442,-1.78606671495553,-1.71648224443374,-1.65987495088248,-1.60377659432408,-1.55389474064018,-1.5152727548863,-1.49025999098678,-1.4600152734206,-1.42868165048834,-1.41904866448724,-0.19672602272711,-0.301408916140212,-0.397874971682494,-0.482332556629809,-0.563085828468886,-0.632288349382918,-0.700626147623215,-0.751634688702687,-0.798692441053938,-0.843154351137775,-0.863088387782043
0.13,2.23828723564607,2.26149188218108,2.29131153211986,2.32050792458812,2.34584023311122,2.36771551075273,2.39899182052807,2.42721508852183,2.44535931567672,2.45918230618036,2.47084706089641,-2.01719643975871,-1.92737943974546,-1.85432624582533,-1.79165345333708,-1.72953983228452,-1.67565889165948,-1.63349502103099,-1.60620242239522,-1.57334228011194,-1.54060330460554,-1.529714915075,-0.22109079588736,-0.334112442435625,-0.43698528629453,-0.528854471251048,-0.616300400826707,-0.692056619093249,-0.765496799497079,-0.821012666126603,-0.872017035564785,-0.918579001574817,-0.941132145821407
0.14,2.410366518379,2.43475731672871,2.46694266539049,2.49746741558833,2.52352965451779,2.54824041217653,2.5797682589745,2.61111089378876,2.63196497030229,2.64574491161327,2.65657562999283,-2.16462360243854,-2.06781381174365,-1.99027995752998,-1.92235174431275,-1.85442155657302,-1.79603164638811,-1.75009648762105,-1.72080008266664,-1.68794158307349,-1.65121500508381,-1.63843346203064,-0.245742915940455,-0.366943504985059,-0.476662707860513,-0.575115671275578,-0.669108097944776,-0.752208765788428,-0.829671771353447,-0.890310811122119,-0.944023387228801,-0.994529906529459,-1.01814216796218
0.15,2.58131905083322,2.60772166471556,2.64118932086648,2.67298938090433,2.70006293857936,2.72688375251144,2.75920249454065,2.79308099481284,2.81595078818195,2.82985362545836,2.84117420353478,-2.31114775018225,-2.20912534173226,-2.12534813952168,-2.05192014433792,-1.97824723613912,-1.91538886386822,-1.86581998670741,-1.83569248339943,-1.79986584368863,-1.75993492313861,-1.74591946701571,-0.270171300650977,-0.398596322983298,-0.515841181344791,-0.621069236566413,-0.72181570244024,-0.811494888643219,-0.893382507833235,-0.957388511413402,-1.01608494449332,-1.06991870231975,-1.09525473651908
0.16,2.7512895710975,2.77939047091881,2.81433325587413,2.84731780862065,2.87557947470007,2.90325842066402,2.93940689331996,2.97348418583091,2.99645081350838,3.01305041253123,3.02422273024663,-2.4568034258519,-2.34931318393993,-2.25942483576006,-2.18049843646031,-2.10128971117951,-2.03393649431386,-1.98458331504795,-1.948864933085,-1.90937625003962,-1.8676725236894,-1.85186570183425,-0.294486145245596,-0.430077286978883,-0.554908420114062,-0.666819372160336,-0.774289763520562,-0.869321926350161,-0.954823578272019,-1.02461925274591,-1.08707456346876,-1.14537788884182,-1.17235702841239
0.17,2.92250835864853,2.95221108098132,2.98856508092966,3.02271965186093,3.05224954188267,3.08021373528579,3.11943768313806,3.15475070796021,3.17843138068942,3.19563687563059,3.20707615665466,-2.60266393910262,-2.4895302557637,-2.39356245603984,-2.3091355789931,-2.22474254868821,-2.15300311820607,-2.10112677686708,-2.06170030993388,-2.0190428112985,-1.97473717188736,-1.95717015957977,-0.319844419545916,-0.462680825217626,-0.595002624889819,-0.713584072867838,-0.827506993194462,-0.92721061707972,-1.01831090627098,-1.09305039802633,-1.15938856939091,-1.22089970374323,-1.24990599707489
0.18,3.09362581504188,3.12488458238833,3.16256962961002,3.19786293437565,3.22862155612792,3.25823366243642,3.29896142843049,3.33516835527419,3.35988375171345,3.37815464652881,3.38963026499848,-2.74735864513707,-2.62824262853236,-2.52621634026651,-2.4362465475079,-2.34682183820113,-2.27372131819204,-2.21595293867441,-2.17257291378771,-2.12686969460875,-2.0802879994312,-2.06065523584117,-0.346267169904805,-0.496641953855968,-0.636353289343508,-0.761616386867752,-0.881799717926791,-0.98451234424438,-1.08300848975608,-1.16259544148648,-1.2330140571047,-1.29786664709761,-1.3289750291573
0.19,3.26319356607016,3.2958091233902,3.33470720250049,3.3710931886145,3.40285506239835,3.43381016713741,3.47613615694897,3.51318202575435,3.53881337780199,3.55784717229174,3.56950033375652,-2.88873136537328,-2.76356647684516,-2.65550711495728,-2.55992528010353,-2.46536773372552,-2.38982250701406,-2.32713408463835,-2.2798625109551,-2.23106028961164,-2.18207354505887,-2.16033138712093,-0.374462200696885,-0.532242646545041,-0.679200087543209,-0.811167908510971,-0.93748732867283,-1.04398766012335,-1.14900207231063,-1.23331951479925,-1.30775308819035,-1.37577362723287,-1.40916894663558
