"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.01,0.179561842703911,-0.107126298591366,-0.0397060001378063
0.02,0.354779119332048,-0.212154427490688,-0.0815209830522569
0.03,0.526136394486652,-0.31555436362304,-0.125745475427379
0.04,0.694108471877293,-0.417723769705882,-0.17261159140877
0.05,0.859391984550175,-0.519087628630111,-0.222119000057438
0.06,1.0232175944352,-0.620008044872349,-0.273973296833432
0.07,1.18637983818173,-0.720672057130297,-0.327680279910383
0.08,1.34918235947213,-0.821060944935831,-0.382617863871488
0.09,1.51163858746708,-0.919673918227076,-0.438454089512841
0.1,1.67430649946287,-1.01766013728433,-0.49394117613315
0.11,1.83732329833999,-1.1151877331528,-0.5496551687793
0.12,2.0006312025518,-1.21227586335334,-0.606172763578198
0.13,2.16401862772222,-1.30886304411689,-0.663911273155025
0.14,2.32716696163147,-1.40486261882922,-0.723067998444313
0.15,2.48970847514083,-1.50023488789264,-0.783628144916443
0.16,2.65141143845016,-1.59494661732991,-0.845395173267313
0.17,2.81244864732971,-1.68726653910293,-0.907659382691667
0.18,2.97272272551562,-1.77893043482452,-0.970822982924778
0.19,3.13252829679762,-1.87017258097874,-1.03494439839334
0.2,3.29217855090439,-1.96107769352747,-1.10008527702091
0.21,3.45191830338225,-2.05156859153651,-1.16628730240178
0.22,3.61189843749576,-2.14139595383138,-1.23352527542793
0.23,3.77213712922644,-2.23017086065482,-1.30165312298924
0.24,3.93250046794179,-2.31741740953381,-1.37037630298202
0.25,4.09224584106957,-2.40268039008384,-1.43976896257173
0.26,4.25161913194023,-2.48729449025075,-1.51072389408896
0.27,4.41018842485736,-2.57159528524285,-1.58344947948866
0.28,4.56735834682063,-2.65580404657243,-1.65786300792119
0.29,4.72250381274933,-2.74008346396578,-1.73359171578762
0.3,4.87522978797023,-2.82456481054466,-1.81000790468021
0.31,5.02514712667583,-2.90925229527592,-1.88633466674335
0.32,5.17181325673423,-2.99405377716704,-1.96175003234778
0.33,5.33297696537071,-3.07462053356015,-2.03673834485853
0.34,5.49202709470344,-3.15322940167721,-2.1124791381886
0.35,5.64844822771425,-3.23042608839539,-2.18917977603275
0.36,5.80275119246419,-3.30660458834798,-2.26699501776036
0.37,5.95547266894515,-3.38215517351127,-2.34599106149441
0.38,6.10712545810486,-3.45737799467659,-2.42612296052384
0.39,6.25822522005983,-3.53239044636611,-2.50723222016133
0.4,6.40920820147806,-3.60708668363183,-2.58906097668734
0.41,6.55935000381605,-3.6799508936642,-2.67155445567811
0.42,6.70977647076961,-3.75175298447012,-2.75402086392596
0.43,6.86079708292946,-3.82266123253701,-2.83694231489487
0.440000000000001,7.0123938618061,-3.89270580314037,-2.92075658529188
0.450000000000001,7.16434858540557,-3.96187846088308,-3.00572390923915
0.460000000000001,7.31631524146548,-4.03013833856978,-3.09189128373748
0.470000000000001,7.46788934684539,-4.09745181235448,-3.17911691396742
0.480000000000001,7.61864225037346,-4.16380870605971,-3.26710661349185
0.490000000000001,7.7676631089166,-4.22836222515723,-3.35517146106744
0.500000000000001,7.91541924041376,-4.29150719401564,-3.44349991110655
0.510000000000001,8.06249840679699,-4.35365656990199,-3.5323028623122
0.520000000000001,8.20946188976363,-4.41513864973062,-3.62181947858606
0.530000000000001,8.35684396322221,-4.47615826954021,-3.71231450715604
0.540000000000001,8.50499016626549,-4.53694973174703,-3.80402174210419
0.550000000000001,8.65409604255005,-4.59763038442166,-3.89707042879951
0.560000000000001,8.80411896880575,-4.65819847720184,-3.99137799804378
0.570000000000001,8.95361719929015,-4.71765733032064,-4.08721106154703
0.580000000000001,9.10242306225053,-4.7753055768413,-4.18394613669487
0.590000000000001,9.24969182293408,-4.83059680294159,-4.28108481951599
0.600000000000001,9.39452315183506,-4.88321306291401,-4.37808147815626
0.610000000000001,9.53616025814697,-4.93315691352244,-4.47437333717444
0.620000000000001,9.67402327789495,-4.98073296593347,-4.56943763853476
0.630000000000001,9.80771879958766,-5.02645293886425,-4.66279311940856
0.640000000000001,9.93702306167015,-5.07091619859389,-4.75403383085946
0.650000000000001,10.0934837942565,-5.12829307932602,-4.85777710666142
0.660000000000001,10.2489667605917,-5.18372402467663,-4.96253305141717
0.670000000000001,10.4000058064863,-5.23553941194412,-5.06681722178173
0.680000000000001,10.5469692452764,-5.28397453039361,-5.17073104403636
0.690000000000001,10.6904631992496,-5.32947152293229,-5.27437582260958
0.700000000000001,10.8313370948364,-5.37264169306985,-5.37785691806503
0.710000000000001,10.9705999749115,-5.41421359889798,-5.48135936943614
0.720000000000001,11.1092931788945,-5.4549528929467,-5.58509112209918
0.730000000000001,11.2464394109945,-5.49587711673327,-5.68927368303039
0.740000000000001,11.3844601714471,-5.53716703169836,-5.7940684387836
0.750000000000001,11.5236969982626,-5.57845462100812,-5.89980980769336
0.760000000000001,11.6639029729559,-5.61925840561207,-6.00668633414012
0.770000000000001,11.8046532313468,-5.65910231316864,-6.11470691246425
0.780000000000001,11.9453913490629,-5.69762578393591,-6.22370845242685
0.790000000000001,12.0855616877379,-5.73463915445313,-6.33339632232314
0.800000000000001,12.2246468390933,-5.7700997551296,-6.44338803848926
0.810000000000001,12.3615180664284,-5.80325384587164,-6.5540496642343
0.820000000000002,12.4970881970429,-5.83517966905725,-6.66510240767278
0.830000000000002,12.6320822826518,-5.86616985845089,-6.77673298650408
0.840000000000002,12.7670725920025,-5.8963270917341,-6.88919877234521
0.850000000000002,12.9025132816282,-5.9256506248649,-7.00271369144932
0.860000000000002,13.0386584722017,-5.9540561287699,-7.11741429607264
0.870000000000002,13.1754877247219,-5.98139732814531,-7.23331022326512
0.880000000000002,13.3126966772777,-6.00753912767666,-7.35021541752489
0.890000000000002,13.4493539474807,-6.03282675331156,-7.46770481742507
0.900000000000002,13.5849663898738,-6.05691381721556,-7.58587437512166
0.910000000000002,13.7188648256854,-6.07967786335955,-7.70457698266356
0.920000000000002,13.8504261182406,-6.10118927438674,-7.82346115565584
0.930000000000002,13.9791974750723,-6.12163285553508,-7.94205171602144
0.940000000000002,14.104893107343,-6.14121620179391,-8.05981918938511
0.950000000000002,14.2273704361186,-6.16009811631538,-8.17619083812927
0.960000000000002,14.3465886302324,-6.17844658165397,-8.29065927444513
0.970000000000002,14.4882933264514,-6.19941238023749,-8.41578112201667
0.980000000000002,14.6292978234105,-6.21918002220276,-8.54149115832085
0.990000000000002,14.7651421373308,-6.23711252112791,-8.6660839672412
1,14.8964750302469,-6.25330198211787,-8.79015254531602
1.01,15.024170972016,-6.26790681762346,-8.91419625890374
1.02,15.1492831926162,-6.28114275821197,-9.03857672041284
1.03,15.2729240016613,-6.29324969277918,-9.16352441716773
1.04,15.3961252809166,-6.30444955694758,-9.28912968456759
1.05,15.5196722601871,-6.31461820117922,-9.4154274303718
1.06,15.6440486246955,-6.32457579312602,-9.54183495934496
1.07,15.7693389010356,-6.33435496325327,-9.66872009309988
1.08,15.8952832095823,-6.34373199011008,-9.79638393407266
1.09,16.0214129362621,-6.35246195956713,-9.92492513738443
1.1,16.1471850110388,-6.36036828089755,-10.0542372559923
1.11,16.2720762457089,-6.36732706547944,-10.1840378522611
1.12,16.3956250681584,-6.37330776152064,-10.3139293051467
1.13,16.51603884056,-6.3779947234329,-10.4444188279331
1.14,16.6347748980507,-6.38157917835279,-10.5749263805112
1.15,16.7527515930307,-6.38419450804119,-10.7056319477848
1.16,16.870498681085,-6.38589159543888,-10.8368824686417
1.17,16.9883850652326,-6.38668186919391,-10.9689492570862
1.18,17.1065412034392,-6.38656283947095,-11.1019728534626
1.19,17.2248092838087,-6.38550297839057,-11.2358888145815
1.2,17.34275356215,-6.38349964201583,-11.370434188721
1.21,17.4590755033727,-6.38105125377622,-11.5049880359282
1.22,17.5741003756065,-6.37743422145467,-11.6400156423017
1.23,17.6874410656191,-6.37243429594016,-11.7754252074568
1.24,17.7985809295196,-6.3661185701244,-11.9107905128134
1.25,17.9071301077848,-6.3587095900076,-12.0454798852726
1.26,18.0128229910804,-6.35055117044375,-12.1787083374164
1.27,18.1154740623563,-6.34206198888842,-12.3096201127276
1.28,18.2149277480923,-6.33365280442552,-12.4373674036696
1.29,18.3367377581024,-6.3241707775165,-12.5771386534096
1.3,18.4600013934785,-6.31256216070769,-12.7179743819179
1.31,18.5781310760797,-6.29911319500932,-12.856542827251
1.32,18.6916218446996,-6.28406397096282,-12.9935610569458
1.33,18.8012086062308,-6.26774731933451,-13.1297145120403
1.34,18.9078330550096,-6.2504714324478,-13.2655922504381
1.35,19.0125361971703,-6.23247489574894,-13.4016158077169
1.36,19.1163055363374,-6.21388059462574,-13.5380076172673
1.37,19.2186553757697,-6.19505387590091,-13.6743981008751
1.38,19.3212049874765,-6.17589798479347,-13.8106481330341
1.39,19.4245715379039,-6.15607503383708,-13.9472549916722
1.4,19.5286000791323,-6.13529579629885,-14.0844921609428
1.41,19.6328749831771,-6.11333337162674,-14.2224339216215
1.42,19.7368739565215,-6.09007153904784,-14.3609298011655
1.43,19.8400697630076,-6.06550729590087,-14.4996582383335
1.44,19.9419916266299,-6.039732314624,-14.6381623097047
1.45,20.0408181749451,-6.01329035649539,-14.7763647017027
1.46,20.1374711111749,-5.98591209163454,-14.9138930764912
1.47,20.2330731672874,-5.95753357952565,-15.0510804154764
1.48,20.3283604151661,-5.92815212128889,-15.1883803436082
