"Time [ms]","Current(PhaseA) [A] - a='15mm'","Current(PhaseA) [A] - a='20mm'","Current(PhaseA) [A] - a='25mm'","Current(PhaseA) [A] - a='30mm'","Current(PhaseA) [A] - a='35mm'","Current(PhaseA) [A] - a='40mm'","Current(PhaseA) [A] - a='45mm'","Current(PhaseA) [A] - a='50mm'","Current(PhaseA) [A] - a='55mm'","Current(PhaseA) [A] - a='60mm'","Current(PhaseA) [A] - a='65mm'","Current(PhaseA) [A] - a='70mm'","Current(PhaseA) [A] - a='75mm'","Current(PhaseB) [A] - a='15mm'","Current(PhaseB) [A] - a='20mm'","Current(PhaseB) [A] - a='25mm'","Current(PhaseB) [A] - a='30mm'","Current(PhaseB) [A] - a='35mm'","Current(PhaseB) [A] - a='40mm'","Current(PhaseB) [A] - a='45mm'","Current(PhaseB) [A] - a='50mm'","Current(PhaseB) [A] - a='55mm'","Current(PhaseB) [A] - a='60mm'","Current(PhaseB) [A] - a='65mm'","Current(PhaseB) [A] - a='70mm'","Current(PhaseB) [A] - a='75mm'","Current(PhaseC) [A] - a='15mm'","Current(PhaseC) [A] - a='20mm'","Current(PhaseC) [A] - a='25mm'","Current(PhaseC) [A] - a='30mm'","Current(PhaseC) [A] - a='35mm'","Current(PhaseC) [A] - a='40mm'","Current(PhaseC) [A] - a='45mm'","Current(PhaseC) [A] - a='50mm'","Current(PhaseC) [A] - a='55mm'","Current(PhaseC) [A] - a='60mm'","Current(PhaseC) [A] - a='65mm'","Current(PhaseC) [A] - a='70mm'","Current(PhaseC) [A] - a='75mm'"
0.2,3.99732988526628,3.97312721420627,3.94508198130569,3.91090230909001,3.88166826372394,3.84079295468056,3.7936611481642,3.74264138816906,3.67230110720675,3.59267419284748,3.5298494818143,3.46379202208547,3.43662219144229,-1.86767720543897,-1.90040602543979,-1.93739651642754,-1.98064254064929,-2.04657876373328,-2.11356999462358,-2.19841857526357,-2.25417209896964,-2.37575765939802,-2.54305661975622,-2.76671383453684,-3.13992830990889,-3.82363395131955,-2.12965267982732,-2.07272118876648,-2.00768546487816,-1.93025976844072,-1.83508949999067,-1.72722296005698,-1.59524257290062,-1.48846928919942,-1.29654344780872,-1.04961757309126,-0.763135647277462,-0.323863712176575,0.387011759877257
0.21,4.18525713415014,4.15970539710686,4.13122702637689,4.09499133894575,4.06424902286996,4.02041947747433,3.97243410098604,3.9180253951824,3.84614822038584,3.76586335148473,3.70252977520533,3.63653573227674,3.61063429565969,-1.94365985699408,-1.97772709257686,-2.01791499661127,-2.0622133285146,-2.13063857376361,-2.20084064016209,-2.28993669579817,-2.34845879486085,-2.47731565007557,-2.65554112973995,-2.89053894592476,-3.28146546662974,-4.00298070050306,-2.24159727715606,-2.18197830453,-2.11331202976563,-2.03277801043115,-1.93361044910636,-1.81957883731224,-1.68249740518787,-1.56956660032155,-1.36883257031027,-1.11032222174478,-0.811990829280574,-0.355070265647002,0.392346404843368
0.22,4.37166343249261,4.34485529482411,4.31597153810481,4.27945831553898,4.24467434781984,4.19971797636125,4.1498181618954,4.09340598910759,4.02030842996095,3.94001490070246,3.87647867121868,3.80790587128153,3.78654412656705,-2.01892438561007,-2.05421962823161,-2.09723079837199,-2.14561626915298,-2.21329336703335,-2.28756446886727,-2.38063810981061,-2.44230353883659,-2.57850649149413,-2.76783735215652,-3.0142149627019,-3.42177776839711,-4.18221514176188,-2.35273904688254,-2.29063566659249,-2.21874073973281,-2.133842046386,-2.03138098078649,-1.91215350749398,-1.7691800520848,-1.65110245027101,-1.44180193846682,-1.17217754854593,-0.862263708516776,-0.386128102884423,0.395671015194834
0.23,4.56997120034672,4.54226412433244,4.51128596785128,4.47534482097915,4.43671253391914,4.39124456093128,4.33786321374073,4.27750098310175,4.20195951590264,4.12002801774182,4.05401606018053,3.98330387934931,3.96504553700167,-2.10918331301764,-2.14616868390358,-2.19014121176048,-2.24215471260708,-2.30948089080039,-2.38913295808235,-2.48364715422902,-2.54817989498808,-2.69103853227718,-2.89021581734166,-3.14697501769674,-3.57073222987245,-4.36809374315822,-2.46078788732909,-2.39609544042886,-2.3211447560908,-2.23319010837206,-2.12723164311875,-2.00211160284892,-1.85421605951172,-1.72932108811367,-1.51092098362546,-1.22981220040016,-0.907041042483788,-0.412571649476862,0.403048206156544
0.24,4.765258098902,4.73640956074591,4.70377735836347,4.66808335856734,4.62746531735918,4.57975768738564,4.52374333286517,4.46056298929571,4.38304629785567,4.30032650741795,4.23242007091662,4.16019810793552,4.14545601608107,-2.1941452433948,-2.23255789981435,-2.27792275626969,-2.33372249146867,-2.40276599346288,-2.48536168021674,-2.58205919502032,-2.64977078970866,-2.79933514502306,-3.00893694819503,-3.27579255427502,-3.71639988925634,-4.55166823014389,-2.57111285550721,-2.50385166093156,-2.42585460209378,-2.33436086709867,-2.2246993238963,-2.0943960071689,-1.94168413784485,-1.81079219958705,-1.58371115283262,-1.29138955922292,-0.956627516641599,-0.443798218679186,0.40621221406282
0.25,4.95725457171247,4.92704592004403,4.89291595011842,4.85495935424673,4.81693765101974,4.76535159269135,4.70730440783883,4.64188109167069,4.56269937287356,4.47974008587424,4.41045078934591,4.33715193693979,4.3262801914355,-2.27403198581727,-2.31362976614414,-2.36049104372579,-2.41905276957344,-2.4941837196087,-2.57659464217255,-2.67609260715647,-2.74664561375962,-2.90303694643996,-3.12360415247742,-3.40029972904378,-3.85824254074215,-4.73187374074098,-2.6832225858952,-2.6134161538999,-2.53242490639263,-2.43590658467329,-2.32275393141103,-2.1887569505188,-2.03121180068235,-1.89523547791108,-1.65966242643359,-1.35613593339682,-1.01015106030213,-0.478909396197643,0.405593549305483
0.26,5.14592165577895,5.11426491020397,5.0787487394934,5.03969334701089,5.00298167256668,4.94771939350799,4.88809291281179,4.82083382628712,4.7403192368749,4.65722817097749,4.58709541953792,4.51301537726644,4.50649626238038,-2.34976850073032,-2.39043437608734,-2.43880032485505,-2.5009028226863,-2.58089545397537,-2.66355482126549,-2.76631106331212,-2.83956814778571,-3.00286941819648,-3.23491984373771,-3.52126865754295,-3.99656043659762,-4.90880385198182,-2.79615315504863,-2.72383053411663,-2.63994841463836,-2.53879052432459,-2.42208621859131,-2.2841645722425,-2.12178184949966,-1.98126567850141,-1.73744981867841,-1.42230832723978,-1.06582676199496,-0.516454940668822,0.402307589601441
0.27,5.33163266604945,5.29864939681988,5.26070732877252,5.22168502285976,5.18217002183156,5.12780644642182,5.06643605158563,4.9975179783787,4.91605339346475,4.8325719929574,4.76351565552538,4.68760515264978,4.68581290907587,-2.42289302043964,-2.4647107163758,-2.51426922344942,-2.58029363411534,-2.66300022586035,-2.74868338456225,-2.85414736806097,-2.93013052103035,-3.10061559728852,-3.34361805683561,-3.64258416504075,-4.13295139168116,-5.0835833343703,-2.90873964560981,-2.83393868044408,-2.7464381053231,-2.64139138874442,-2.5191697959712,-2.37912306185957,-2.21228868352466,-2.06738745734835,-1.81543779617622,-1.4889539361218,-1.12093149048463,-0.554653760968626,0.397770425294427
0.28,5.51709251680691,5.48212014982149,5.44333050748819,5.40400243327255,5.36352510401676,5.30811229526838,5.24551067203494,5.17507875106291,5.09299423652054,5.00901257074259,4.94109963572161,4.8640195816799,4.86707400905537,-2.49559822164163,-2.53837032710793,-2.58993504722864,-2.65973238858169,-2.74588146691911,-2.83328024050298,-2.94249485970057,-3.02113215970511,-3.19913194309549,-3.45286839423444,-3.7642062155059,-4.27087134271036,-5.25911623041557,-3.02149429516528,-2.94374982271356,-2.85339546025955,-2.74427004469086,-2.61764363709765,-2.4748320547654,-2.30301581233437,-2.1539465913578,-1.89386229342505,-1.55614417650815,-1.17689342021571,-0.59314823896954,0.392042221360207
0.29,5.70253189685881,5.66587685887886,5.62650977415893,5.58601062241445,5.54521496271431,5.48655126720032,5.42573483550618,5.3533782297323,5.2709723900224,5.18645833151477,5.11990290891843,5.04214170150675,5.05005492302421,-2.56914069806476,-2.61311941922255,-2.66706716161829,-2.7400561517905,-2.8296367984514,-2.91812475178224,-3.03310321269777,-3.11372398865225,-3.29957470605504,-3.56367260708083,-3.88777067692432,-4.411098654215,-5.43643271308438,-3.13339119879406,-3.05275743965632,-2.95944261254064,-2.84595447062395,-2.71557816426291,-2.56842651541808,-2.39263162280841,-2.23965424108004,-1.97139768396736,-1.62278572443394,-1.23213223199411,-0.631043047291757,0.386377790060163
0.3,5.88489498243743,5.84792564617754,5.80819401263298,5.76636117715817,5.72505898691596,5.66506911892591,5.60438810394729,5.52998178894762,5.44746349076388,5.36258817369391,5.29741005745433,5.21913976652714,5.23228570543106,-2.64207466961026,-2.68794011174631,-2.74449685817373,-2.82018860655581,-2.91292329731364,-3.00359459251518,-3.12338275617358,-3.20638469235395,-3.40023801237744,-3.67438000877148,-4.01148511614736,-4.55148264677217,-5.6136593469208,-3.24282031282718,-3.15998553443123,-3.06369715445925,-2.94617257060236,-2.81213568960232,-2.66147452641073,-2.4810053477737,-2.32359709659367,-2.04722547838644,-1.68820816492243,-1.28592494130697,-0.667657119754963,0.381373641489737
0.31,6.065245629203,6.0278935680115,5.98678586743341,5.94453706135586,5.90286313069802,5.84183386364054,5.78114138541258,5.70461214362493,5.6220405569231,5.53706086265969,5.47100855544044,5.39449729193951,5.41339484774966,-2.71378772553068,-2.76156661904162,-2.82027419151097,-2.89878456760883,-2.99469072153993,-3.0876151573905,-3.21214701753394,-3.29772675075735,-3.49950466693032,-3.78364702364598,-4.13279643649556,-4.69032736584292,-5.78942002819341,-3.35145790367232,-3.26632694896988,-3.16651167592243,-3.04575249374703,-2.90817240915808,-2.75421870625005,-2.56899436787864,-2.40688539286758,-2.12253588999278,-1.75341383901372,-1.33821211894487,-0.704169926096589,0.376025180443753
0.32,6.24351323808155,6.20486578360498,6.16363667946369,6.12076545342037,6.07890543119498,6.01754320284825,5.95568725958037,5.87761664221019,5.79503052319534,5.71024904053415,5.64158736870928,5.56865915686031,5.5938052291492,-2.78348475762939,-2.83281253614844,-2.89397759942686,-2.97516417253065,-3.07436643197863,-3.17064962656472,-3.29854950947711,-3.38696466427148,-3.59652217550477,-3.8908450029903,-4.24736697228242,-4.82695588512891,-5.96314504862945,-3.46002848045216,-3.37205324745654,-3.26965908003683,-3.14560128088972,-3.00453899921635,-2.84689357628352,-2.65713775010326,-2.4906519779387,-2.19850834769057,-1.81940403754385,-1.39422039642686,-0.741703271731407,0.369339819480255
0.33,6.41934577318655,6.38067764985645,6.3391010582044,6.29583830543313,6.25398575708109,6.19199618636408,6.13078509771447,6.05008584580576,5.96754955375545,5.88330554176277,5.81318385861204,5.7421260644684,5.77481992043677,-2.85076836598255,-2.90206543626001,-2.96545760437938,-3.04946682877369,-3.15211905856184,-3.25114226394924,-3.38544305601331,-3.47415114028375,-3.69134572644964,-3.99616837642491,-4.3620451971148,-4.95976981609288,-6.13509676362828,-3.568577407204,-3.47861221359644,-3.37364345382501,-3.24637147665944,-3.10186669851925,-2.94085392241484,-2.74534204170115,-2.57593470552201,-2.2762038273058,-1.88713716533786,-1.45113866149724,-0.782356248375518,0.360276843191504
