Time [ms],Moving1.Torque [NewtonMeter] - a='15mm',Moving1.Torque [NewtonMeter] - a='20mm',Moving1.Torque [NewtonMeter] - a='25mm',Moving1.Torque [NewtonMeter] - a='30mm',Moving1.Torque [NewtonMeter] - a='35mm',Moving1.Torque [NewtonMeter] - a='40mm',Moving1.Torque [NewtonMeter] - a='45mm',Moving1.Torque [NewtonMeter] - a='50mm',Moving1.Torque [NewtonMeter] - a='55mm',Moving1.Torque [NewtonMeter] - a='60mm',Moving1.Torque [NewtonMeter] - a='65mm',Moving1.Torque [NewtonMeter] - a='70mm',Moving1.Torque [NewtonMeter] - a='75mm'
0.3,7.395148266,7.697687883,8.207414335,8.408433503,8.846449883,9.583128987,10.17846025,8.023126848,8.940745709,10.10545099,13.59718309,15.84811779,20.16193129
0.31,7.608456445,7.897199347,8.421247093,8.639424851,9.058825707,9.808831861,10.42547902,8.447246669,9.404932545,10.63009287,14.05655571,16.43381377,20.86659724
0.32,7.8121649,8.086053944,8.598950314,8.85014351,9.270587854,10.02172312,10.65933375,8.864729339,9.87088555,11.17287306,14.50704111,17.01420084,21.57954909
0.33,7.998548109,8.255880867,8.751975747,9.03765209,9.473358339,10.22510354,10.88396523,9.280625165,10.34135552,11.7329107,14.95391295,17.59255612,22.3008265
0.34,8.141192501,8.414671502,8.965743461,9.249920839,9.654352961,10.46280094,11.12369777,9.743797086,10.85790015,12.28849397,15.41947211,18.21443109,23.02138291
0.35,8.2758417,8.563478426,9.157681272,9.454343169,9.838014378,10.69348972,11.36258538,10.20039387,11.37313477,12.86426762,15.87958016,18.8329094,23.74669899
0.36,8.401386299,8.701501725,9.312433112,9.642848152,10.0248882,10.90634282,11.59604708,10.63993134,11.88773824,13.46196991,16.33917455,19.44576582,24.48192375
0.37,8.509289446,8.818451595,9.419148973,9.803782312,10.20915174,11.09369481,11.81776557,11.08664304,12.40186972,14.08368074,16.80560093,20.05160483,25.22884081
0.38,8.584735505,8.905821432,9.486469599,9.931438702,10.3812058,11.25980336,12.02486279,11.5381561,12.91670034,14.72965629,17.28425872,20.6417366,25.98520897
0.39,8.624881549,8.969551794,9.547171899,10.04352749,10.53984025,11.42943639,12.23290431,12.0093708,13.45219757,15.37621545,17.770111,21.25282171,26.74524649
0.4,8.630534449,9.014186259,9.618247517,10.15435137,10.68395361,11.60945616,12.44616789,12.49381666,14.00346757,15.99872906,18.2465462,21.87747193,27.50068768
0.41,8.596484783,9.032699877,9.697367908,10.25743412,10.80487781,11.78598677,12.65412904,12.98063041,14.55450572,16.58829443,18.71195149,22.50951003,28.24759254
0.42,8.523790574,9.02348737,9.777118606,10.35234605,10.89730455,11.94739615,12.84885623,13.4600775,15.0947385,17.15487509,19.16883468,23.14671892,28.98106267
0.43,8.422501607,8.989965111,9.844212097,10.43155785,10.9611928,12.08722453,13.02525144,13.92544914,15.63114339,17.73099103,19.62597437,23.78847015,29.69855218
