Time [ms],Moving1.Torque [NewtonMeter] - a='15mm',Moving1.Torque [NewtonMeter] - a='20mm',Moving1.Torque [NewtonMeter] - a='25mm',Moving1.Torque [NewtonMeter] - a='30mm',Moving1.Torque [NewtonMeter] - a='35mm',Moving1.Torque [NewtonMeter] - a='40mm',Moving1.Torque [NewtonMeter] - a='45mm',Moving1.Torque [NewtonMeter] - a='50mm',Moving1.Torque [NewtonMeter] - a='55mm',Moving1.Torque [NewtonMeter] - a='60mm',Moving1.Torque [NewtonMeter] - a='65mm',Moving1.Torque [NewtonMeter] - a='70mm',Moving1.Torque [NewtonMeter] - a='75mm'
5.1,246.1749468,245.6650231,245.1455479,244.3438689,243.4788451,242.4619316,241.0966486,238.0005367,235.7644394,232.7596449,231.0943973,224.9445281,214.5102098
5.11,246.2190159,245.6887812,245.149221,244.3305264,243.4410029,242.4363148,241.0424595,237.7348511,235.4628969,232.4548798,230.8648033,224.61038,214.0943423
5.12,246.2824991,245.7306546,245.1610472,244.3246244,243.4079224,242.4160355,240.9922991,237.4846477,235.1747275,232.1585157,230.6486706,224.2765841,213.6847826
5.13,246.3529073,245.7746873,245.1727088,244.3177081,243.3733145,242.3765464,240.9326565,237.2499506,234.9018698,231.8667561,230.4201194,223.9577033,213.2672102
5.14,246.4103878,245.7884785,245.1704188,244.2956011,243.3240139,242.3149166,240.8490006,237.0169517,234.6357523,231.5672725,230.1733735,223.637761,212.8324418
5.15,246.4352134,245.7728816,245.1393308,244.2457999,243.2495665,242.2193583,240.7326075,236.775173,234.3678918,231.2287523,229.8960322,223.3095771,212.3684623
5.16,246.3874112,245.7251927,245.0681882,244.1615359,243.147386,242.1148853,240.605181,236.5281862,234.0910278,230.9173538,229.6169132,222.9675294,211.9221754
5.17,246.3197377,245.6587733,244.9823335,244.0612543,243.026348,241.9993012,240.4638827,236.2889087,233.819175,230.6132588,229.3332096,222.6231235,211.5020169
5.18,246.2174034,245.5652824,244.8893131,243.9560035,242.8977398,241.8659317,240.3074293,236.0579506,233.5622139,230.3133127,229.032739,222.2838611,211.0835337
5.19,246.1226353,245.4642278,244.7745477,243.8524782,242.7724655,241.7238067,240.1439702,235.8314245,233.3184856,230.0119821,228.72039,221.9520077,210.6565596
5.2,246.0104363,245.3412043,244.6440492,243.7249719,242.6381191,241.5639195,239.9690584,235.600705,233.071664,229.7050996,228.4030998,221.6239777,210.2283729
5.21,245.8537076,245.1733886,244.4709941,243.5483258,242.4636048,241.363392,239.7611231,235.3513072,232.8094083,229.396525,228.0779933,221.2865749,209.7967362
5.22,245.6307782,244.9605699,244.2575784,243.3275624,242.2298356,241.1252506,239.5098843,235.0976164,232.5470836,229.0990653,227.7168265,220.9532601,209.3619386
5.23,245.3831105,244.7098266,244.009543,243.0712969,241.9604687,240.8465295,239.2200517,234.8398894,232.2831227,228.8113933,227.3336651,220.6007082,208.9161551
5.24,245.1020005,244.4226143,243.7266877,242.7765188,241.6394611,240.5271523,238.8885821,234.5756926,232.0122782,228.5372231,226.9300827,220.2138549,208.4542229
5.25,244.7857596,244.0958198,243.4053993,242.4449596,241.2818726,240.1680812,238.5208494,234.3039482,231.7311127,228.2679674,226.5460029,219.8029259,207.9701383
5.26,244.4312559,243.726068,243.0411284,242.0833973,240.8882413,239.793599,238.1263202,234.0236094,231.4355653,228.0265768,226.1692145,219.3819131,207.460801
5.27,244.2544139,243.5326389,242.8398309,241.8563218,240.6435501,239.5136898,237.8406848,233.8447831,231.2644188,227.8119039,225.8389826,219.0853664,207.0763162
5.28,244.1048209,243.361957,242.6530225,241.6454895,240.4238326,239.2495099,237.5737329,233.6607203,231.0844779,227.5754299,225.5127785,218.8131272,206.7061104
5.29,243.8912236,243.1179021,242.3954962,241.3768074,240.1413466,238.9402108,237.2381813,233.4360768,230.8657534,227.3248675,225.1652821,218.5033295,206.290569
5.3,243.6307366,242.826856,242.0892928,241.0573544,239.8065542,238.586983,236.8676843,233.1818027,230.6373336,227.0808889,224.7998482,218.1609693,205.8456046
5.31,243.3353434,242.5019863,241.7500108,240.7051515,239.4377874,238.1976325,236.462619,232.9460762,230.4160284,226.8554537,224.4250949,217.8019978,205.3905794
5.32,243.0168758,242.1607942,241.401147,240.3391874,239.0503511,237.7927607,236.0410973,232.7291188,230.1896938,226.64664,224.0541695,217.4369997,204.9245104
5.33,242.6761266,241.8062586,241.0433082,239.964684,238.6498278,237.3793471,235.6081624,232.522753,229.9846605,226.4487204,223.70072,217.0815537,204.4846314
5.34,242.2932157,241.4158622,240.6530998,239.5726505,238.2347175,236.9541074,235.1774431,232.3189018,229.7810601,226.2530938,223.3573935,216.7315575,204.0796242
5.35,241.877155,240.9923847,240.2346975,239.1617152,237.8076892,236.5261528,234.7366397,232.1198676,229.5837999,226.0604923,223.0080759,216.3633415,203.6838729
5.36,241.4224983,240.5440184,239.7898916,238.735742,237.3766052,236.0786674,234.2952836,231.9193217,229.3867038,225.8613532,222.6404706,216.0021602,203.2970694
5.37,240.943282,240.0800214,239.3284913,238.2877445,236.9332408,235.6280788,233.8383032,231.6998878,229.1764214,225.6705962,222.2502319,215.6287378,202.9024061
5.38,240.4572663,239.619545,238.8879683,237.8625326,236.4925655,235.1949042,233.3925824,231.5142283,228.996434,225.4766529,221.8778632,215.2616689,202.4904498
5.39,239.9707321,239.165915,238.4603336,237.4469185,236.0623439,234.7736484,232.9580841,231.3402404,228.8258483,225.2860771,221.5093501,214.8996507,202.0770137
5.4,239.4853307,238.7055444,238.0197441,237.0253108,235.6397192,234.3499392,232.5269756,231.1545718,228.6472119,225.1072468,221.134706,214.5334547,201.6715886
5.41,238.9852095,238.231018,237.5589638,236.5858794,235.2148234,233.9192732,232.0949106,230.9479513,228.4498332,224.9420237,220.7501486,214.1561321,201.2668059
5.42,238.4534593,237.7272086,237.0638483,236.1226972,234.7756752,233.4756409,231.6566506,230.7142767,228.2308195,224.7828358,220.3602447,213.7866699,200.8578597
5.43,237.874847,237.1817333,236.5313616,235.6209645,234.3019874,233.0046142,231.1947559,230.4610268,227.9941272,224.6058257,219.9542919,213.3975854,200.4348396
5.44,237.26562,236.6127726,235.9803313,235.0902499,233.7932115,232.5062801,230.7053646,230.2074082,227.7584459,224.3983437,219.5395699,213.0080657,199.9937744
5.45,236.666295,236.0571062,235.4433127,234.5589785,233.2783818,232.0032906,230.2103168,229.9876111,227.5547265,224.1758852,219.1302323,212.6296256,199.5538093
5.46,236.0953385,235.530073,234.934648,234.0454538,232.7703328,231.5095526,229.7214112,229.8076244,227.3814206,223.9462382,218.7265941,212.2589798,199.1091946
5.47,235.5551001,235.0281669,234.449582,233.5632618,232.2822377,231.0434973,229.2533424,229.6474937,227.221016,223.7203862,218.3564351,211.8876615,198.6535731
5.48,235.0356475,234.535737,233.9713613,233.1153221,231.8207775,230.6182793,228.8204242,229.4767764,227.0416956,223.5029561,217.976782,211.5044057,198.1779045
5.49,234.7567149,234.2272964,233.6531769,232.7771119,231.4636632,230.232397,228.4160681,229.2892211,226.8640655,223.3218896,217.6209541,211.132445,197.7677657
5.5,234.5325921,233.9529178,233.3684216,232.4758161,231.1362188,229.8737009,228.0290271,229.0553213,226.641918,223.1384468,217.2602184,210.7379171,197.3581237
5.51,234.302991,233.6739421,233.0866438,232.1881264,230.8140871,229.5387688,227.661075,228.8065005,226.3982849,222.9423745,216.8964912,210.2935282,196.931665
5.52,234.0853587,233.4083053,232.7865217,231.8846192,230.4972743,229.2218469,227.3081157,228.5833758,226.1711652,222.744415,216.5394434,209.8726114,196.4997998
5.53,233.8862199,233.1684991,232.5173167,231.5864798,230.1873772,228.8929767,226.9677583,228.3987242,225.971323,222.5264637,216.1940183,209.4741262,196.048765
5.54,233.6911749,232.9398598,232.257891,231.2894174,229.8802555,228.5671324,226.629136,228.2292943,225.7791859,222.2904942,215.8506363,209.0816106,195.5993146
5.55,233.4770004,232.6953348,231.9819045,230.9847223,229.5661942,228.2397977,226.2848544,228.0433652,225.5680797,222.0318987,215.4929579,208.674546,195.13946
5.56,233.273931,232.4731974,231.7214943,230.695533,229.2733475,227.9277867,225.9528291,227.8338294,225.3398729,221.7633398,215.1429836,208.2648751,194.6696932
5.57,233.0930101,232.2716891,231.4788819,230.4229748,229.0004214,227.6240006,225.6317189,227.5998461,225.0866854,221.4886351,214.7890776,207.8511514,194.1893616
5.58,232.9450271,232.098078,231.2536962,230.1741626,228.7445915,227.3233588,225.3188026,227.3455703,224.8176882,221.2105456,214.4273417,207.4328613,193.6867376
5.59,232.8305425,231.9519969,231.0526368,229.9405413,228.5117469,227.0282947,225.0169051,227.0951119,224.5318238,220.9110146,214.0538191,207.0087976,193.185511
5.6,232.6857621,231.8018126,230.8658524,229.7359632,228.3091764,226.7855193,224.7866321,226.858338,224.2637223,220.6113247,213.6954474,206.5869809,192.6846064
5.61,232.4744183,231.6138102,230.693828,229.5506712,228.128307,226.5700132,224.5593375,226.6026152,223.9519571,220.2940318,213.3327106,206.1542521,192.1686365
5.62,232.3134447,231.4486134,230.5034812,229.3737725,227.9592771,226.3497531,224.3370075,226.3338686,223.6335272,219.9570039,212.9605194,205.7181948,191.6484547
5.63,232.1811463,231.3042585,230.3332929,229.1618128,227.7957753,226.1241737,224.1159753,226.0684904,223.312157,219.6034564,212.5787609,205.2866823,191.1328769
5.64,232.059835,231.1730017,230.1740449,228.9691144,227.5856588,225.906046,223.9011968,225.8025919,222.9970261,219.2377103,212.1895904,204.8587595,190.6238776
5.65,231.9456681,231.0527499,230.0320842,228.8160659,227.4290109,225.7142292,223.7175321,225.5511551,222.6960803,218.8805998,211.8118175,204.4394137,190.124639
5.66,231.8568635,230.962603,229.932369,228.6934741,227.3095545,225.5612028,223.5694427,225.31448,222.4038235,218.5422284,211.4667982,204.0257445,189.6425384
5.67,231.7462142,230.8693836,229.8116489,228.5698321,227.1798222,225.4098954,223.3805649,225.0451684,222.0812646,218.18341,211.1239731,203.5955483,189.1578892
5.68,231.6258954,230.7391288,229.6656622,228.4442471,227.040308,225.2608193,223.2108835,224.7370429,221.7153169,217.7993367,210.7800954,203.1397463,188.6575564
5.69,231.4641299,230.5761825,229.4924449,228.3151005,226.8952176,225.1185489,223.0499416,224.3613271,221.3034306,217.3875082,210.4294721,202.6517519,188.1424502
5.7,231.2688972,230.3787476,229.2903148,228.1760968,226.7487256,224.9854294,222.9014454,223.9625397,220.8444415,216.94797,210.0643394,202.1263454,187.6162329
5.71,231.2841946,230.3799449,229.2332056,228.0592523,226.6427097,224.8139719,222.7416684,223.6784266,220.5518558,216.5517805,209.7374306,201.7508374,187.115095
5.72,231.3115968,230.3867338,229.1352452,227.9233808,226.530325,224.6336927,222.5713535,223.3852148,220.2309416,216.1360293,209.3807322,201.3751922,186.6020618
5.73,231.2941498,230.3505397,229.0225817,227.743919,226.4000407,224.4588991,222.3950226,223.0458899,219.8332463,215.6671366,208.9802638,200.959631,186.0633333
5.74,231.1963509,230.2669418,228.8754858,227.5735285,226.2476262,224.2857795,222.2125522,222.668179,219.407984,215.1801196,208.5775107,200.5154457,185.5048748
5.75,231.0011525,230.1225896,228.7092172,227.4047293,226.0835761,224.1005091,222.0233262,222.2684814,218.9605473,214.6900085,208.1847057,200.0475463,184.9463184
5.76,230.8377435,229.9220006,228.5528297,227.255714,225.9350669,223.9351312,221.8518441,221.8663234,218.517505,214.1930948,207.8008515,199.5763636,184.4117064
5.77,230.7225155,229.7848635,228.4178566,227.1475681,225.8303031,223.8058021,221.7213996,221.493567,218.0878087,213.7159764,207.4433973,199.1193637,183.9018453
5.78,230.5983851,229.6476635,228.2994683,227.0565685,225.7281257,223.6941897,221.6056926,221.1323414,217.6776257,213.2519013,207.0981409,198.6595068,183.378156
5.79,230.4714091,229.5157913,228.2023787,226.9563176,225.6292805,223.5885773,221.4891291,220.7726242,217.2744199,212.7881598,206.752188,198.1939396,182.8593414
5.8,230.3442402,229.3895848,228.1052766,226.8606899,225.4613107,223.475197,221.360301,220.4060267,216.8679393,212.3163817,206.3994201,197.7291873,182.329894
5.81,230.2143228,229.2617132,228.0055429,226.753998,225.310215,223.3456322,221.2121794,220.0288098,216.4474439,211.8316745,206.0344521,197.2578997,181.7750441
5.82,230.0207742,229.0676437,227.8222908,226.5779826,225.1314608,223.1821817,221.0595632,219.616483,215.9849175,211.3183876,205.6443078,196.757168,181.2107777
5.83,229.8022542,228.8529449,227.6227404,226.3941169,224.9376327,223.0042322,220.8849135,219.1979553,215.5181373,210.8025155,205.2425049,196.2517575,180.6468044
5.84,229.5692004,228.6339453,227.428854,226.2067754,224.7357095,222.8223449,220.6590046,218.7852926,215.0592317,210.2923212,204.8536893,195.7546812,180.0897135
5.85,229.338525,228.4133768,227.2448296,226.0185057,224.5285538,222.6225719,220.4355113,218.3838299,214.5981175,209.7889397,204.4777881,195.2701657,179.5406863
5.86,229.1261494,228.2107512,227.0679361,225.8373797,224.3237006,222.429147,220.2096943,217.9830177,214.1457329,209.2911702,204.1031462,194.7838188,178.9985066
5.87,228.9472957,228.0344342,226.9117811,225.6727399,224.1304387,222.2446317,219.9892659,217.545922,213.690009,208.7876163,203.7090305,194.2874436,178.4252451
5.88,228.8062807,227.8845138,226.7712157,225.5090729,223.9458668,222.0618056,219.7681915,217.1127726,213.2159419,208.2591136,203.2852317,193.7736448,177.8262638
5.89,228.6963084,227.7601868,226.6442443,225.3548354,223.7600139,221.8768538,219.5434517,216.6472011,212.7202654,207.7092321,202.8353128,193.2651517,177.2370366
5.9,228.5959268,227.6419393,226.5102104,225.1893941,223.565298,221.6857269,219.3128077,216.14446,212.2062664,207.1484077,202.3631563,192.7384757,176.6108273
5.91,228.4784237,227.5016402,226.3474896,224.9943918,223.3544464,221.4827169,219.0732184,215.6126011,211.681194,206.5903533,201.8831151,192.1985053,175.9680348
5.92,228.319327,227.3187465,226.1421512,224.757364,223.1273688,221.2548744,218.8189755,215.0621516,211.1575307,206.0432911,201.3868673,191.6473517,175.3217589
5.93,228.1946898,227.1937292,226.0031345,224.6181285,222.9203201,221.0314117,218.573377,214.6776696,210.6981496,205.5346911,201.0257264,191.1940288,174.7923004
5.94,227.9971059,226.9937928,225.7998333,224.4054148,222.6710803,220.7681994,218.295304,214.2701012,210.227123,205.0216765,200.645492,190.7231141,174.258872
5.95,227.7385875,226.7350116,225.5387845,224.1342274,222.3765875,220.4759103,217.985262,213.8200962,209.7268156,204.5239378,200.226665,190.2186883,173.6955337
5.96,227.4578329,226.4507935,225.2499461,223.8300591,222.0503092,220.1536575,217.6434593,213.3302984,209.2080787,204.01268,199.7647416,189.7000647,173.1109011
5.97,227.1772004,226.1580612,224.9473959,223.5112376,221.7068411,219.8055671,217.2847405,212.8161344,208.6805996,203.4721054,199.2739122,189.1740162,172.5079045
5.98,226.9225353,225.8867418,224.6581649,223.1966644,221.3688297,219.461486,216.9238949,212.2970055,208.1550042,202.9279881,198.7692896,188.6443095,171.8939328
5.99,226.677814,225.6367566,224.3833303,222.8993805,221.0471599,219.1323729,216.5761061,211.7908299,207.6482956,202.3997663,198.2716156,188.1073411,171.277549
6,226.43004,225.3591233,224.0969122,222.5912532,220.7216404,218.7957033,216.2218586,211.300572,207.1562819,201.8817679,197.7875144,187.5681078,170.6516931
6.01,226.1392201,225.0622915,223.7832689,222.2657804,220.377942,218.4369196,215.8457954,210.8199783,206.663132,201.3567824,197.3077594,187.0364868,170.0237619
6.02,225.8128193,224.720109,223.4188055,221.9129273,220.0056159,218.0464594,215.4383771,210.3403608,206.1643314,200.8174062,196.8243488,186.5077812,169.3942138
6.03,225.4356788,224.3367538,223.0229459,221.510075,219.6013569,217.6190428,214.9978827,209.8544121,205.6608668,200.2638687,196.3337014,185.9739814,168.7517071
6.04,225.0401678,223.922726,222.5985926,221.0679841,219.1566143,217.1648438,214.5343758,209.3495694,205.1411919,199.735104,195.7966779,185.4147137,168.1368434
6.05,224.619818,223.4847353,222.1481128,220.6045833,218.6745832,216.6826473,214.0433525,208.8479663,204.6206733,199.2004701,195.2543347,184.8523392,167.5148819
6.06,224.1872458,223.0410698,221.6914064,220.1348265,218.1904553,216.1910275,213.5389878,208.3527593,204.1114847,198.6626744,194.7212559,184.2906613,166.8788954
6.07,223.741214,222.600834,221.2384005,219.6668904,217.7131765,215.6875218,213.0339796,207.8638121,203.6179328,198.1272011,194.201773,183.7256201,166.2261682
6.08,223.2965751,222.1521013,220.7813118,219.1967685,217.2377384,215.1879308,212.5292573,207.3768688,203.1344522,197.6024203,193.6826195,183.1560139,165.5619647
6.09,222.819718,221.6694235,220.2909664,218.7006021,216.7288319,214.6638677,212.0071061,206.8867999,202.6502318,197.0952491,193.1550068,182.5929583,164.9083023
6.1,222.3051993,221.1433847,219.7555507,218.1660368,216.1808411,214.0931827,211.4269676,206.3997848,202.1626028,196.5927937,192.6190114,182.0252091,164.3123365
6.11,221.7605058,220.5775856,219.1724706,217.5871894,215.5818392,213.4726577,210.8099948,205.9135711,201.6557024,196.0986123,192.0471849,181.4467281,163.7371213
6.12,221.1748383,219.9622921,218.5342521,216.9540287,214.924781,212.8035658,210.1461582,205.4209265,201.1316831,195.606206,191.4366389,180.8504031,163.1735113
6.13,220.5417393,219.2949406,217.8410321,216.2691108,214.2220618,212.0994689,209.4461841,204.9236335,200.6029083,195.122635,190.8035863,180.231619,162.6080656
6.14,219.8606434,218.5801792,217.1036466,215.5483935,213.4961918,211.379245,208.7274922,204.3994767,200.0808407,194.6481391,190.1523811,179.594326,162.0278493
6.15,219.4421031,218.1756238,216.7038444,215.1211173,213.0139892,210.8975331,208.1936864,204.0078001,199.7217477,194.2272325,189.6546707,179.0575621,161.3869013
6.16,218.9528179,217.6971525,216.2310202,214.6315234,212.5039749,210.3850213,207.6393196,203.5882674,199.3530276,193.7999701,189.1216208,178.4819014,160.7187744
6.17,218.3715261,217.1204312,215.6579761,214.0614364,211.9313634,209.8045617,207.0335828,203.1387052,198.9484281,193.362584,188.5514491,177.8943252,160.0345442
6.18,217.6999974,216.4482609,214.9937646,213.4146616,211.2814091,209.1481677,206.3709565,202.6704686,198.4916606,192.9148123,187.9515357,177.2880119,159.3613923
6.19,216.9564102,215.7106401,214.2573902,212.6989087,210.5673668,208.4318913,205.6619852,202.1970048,198.0195408,192.4609854,187.3348857,176.6901138,158.7189698
6.2,216.1972102,214.9622746,213.510256,211.9711858,209.8397175,207.7082446,204.9436675,201.7323242,197.5489516,192.01319,186.7284692,176.102329,158.119698
6.21,215.4449343,214.2343571,212.7828493,211.2570778,209.1275868,207.0115885,204.2439919,201.2872121,197.1054638,191.5911,186.1401864,175.5416481,157.5521559
6.22,214.6875448,213.4953625,212.0556487,210.5387562,208.4211042,206.3201988,203.5495678,200.8545334,196.6870782,191.1846565,185.5666434,174.9781443,156.9834679
6.23,213.9188187,212.7478065,211.3262042,209.8215223,207.7173873,205.6239071,202.8515892,200.4235564,196.2781625,190.7627605,184.993059,174.4188034,156.4043379
6.24,213.1386724,211.9886163,210.592976,209.0990442,207.0064085,204.916076,202.144105,199.990552,195.8668125,190.3477189,184.4047616,173.8586746,155.8145163
6.25,212.3462182,211.2165231,209.8482669,208.3669261,206.2900767,204.1980641,201.4289107,199.5564576,195.4507304,189.930428,183.8111655,173.3002132,155.2150871
6.26,211.5667366,210.465516,209.1151442,207.6461948,205.5664296,203.4856264,200.7160713,199.1115771,195.026595,189.5061686,183.2330401,172.7272686,154.6246418
6.27,210.8059054,209.7226591,208.3931286,206.9311942,204.8549415,202.7783327,200.0089257,198.6697508,194.6071283,189.0839349,182.646892,172.1593318,154.0330524
6.28,210.064668,208.9927062,207.682103,206.2269582,204.1589144,202.0794299,199.3127712,198.2420885,194.1932004,188.6853723,182.0243101,171.5984315,153.4508506
6.29,209.3415722,208.2771199,206.986272,205.5427662,203.4732469,201.3948632,198.6266737,197.8312788,193.7874033,188.2941436,181.3984889,171.0448232,152.8809224
6.3,208.6301884,207.5719576,206.3058346,204.8593517,202.801628,200.7222364,197.9492423,197.4329817,193.3887137,187.9113667,180.7681798,170.4931629,152.3184368
6.31,207.9172991,206.8679993,205.6115224,204.1686636,202.1222488,200.0391442,197.2632034,197.018621,192.9774848,187.5226934,180.1396604,169.9328198,151.7325705
6.32,207.2031812,206.1606209,204.9122058,203.4772104,201.4290965,199.3427364,196.5614517,196.5632991,192.5269401,187.0993772,179.5188213,169.3541429,151.1135495
6.33,206.5007782,205.4648057,204.2223058,202.7925939,200.7229029,198.6315852,195.8477647,196.0555651,192.049989,186.6334116,178.8969759,168.7467472,150.4564248
6.34,205.811741,204.7821838,203.5408979,202.1137593,200.0113467,197.9164121,195.1342295,195.5069402,191.5484926,186.1383371,178.2688089,168.1277653,149.7771182
6.35,205.140394,204.1146542,202.8659183,201.4392585,199.3131035,197.2137546,194.4318381,194.9683359,191.0551022,185.6358394,177.6304115,167.5205348,149.0952648
6.36,204.5046344,203.4744444,202.2089157,200.7818493,198.6556404,196.5426351,193.7814804,194.4602523,190.5984641,185.1549506,176.9860203,166.9305866,148.4286703
6.37,204.1853416,203.1098441,201.8077164,200.3658962,198.1816477,196.0373245,193.240982,194.1376645,190.2069685,184.7992174,176.4274846,166.4067723,147.8730431
6.38,203.8258603,202.7113097,201.3749725,199.9165827,197.7129555,195.5404705,192.712531,193.799397,189.8145764,184.4338648,175.832596,165.8664054,147.3238071
6.39,203.4184544,202.2768154,200.9083523,199.4363296,197.2349895,195.0303782,192.1776957,193.4188264,189.3937168,184.0320519,175.2292379,165.3173984,146.7565627
6.4,202.9721941,201.8120507,200.4216884,198.9454943,196.7342422,194.4935637,191.6392146,192.979594,188.9247044,183.5781805,174.6301083,164.7564194,146.1625915
6.41,202.5124072,201.3396915,199.9412972,198.456517,196.2138192,193.9415333,191.0863399,192.4924799,188.4243717,183.0814792,174.0447465,164.1926707,145.5434295
6.42,202.0504003,200.8840354,199.4702769,198.0048107,195.6982433,193.4150852,190.5442972,191.988028,187.9202553,182.5672486,173.474068,163.6238683,144.9158224
6.43,201.6188874,200.4526544,199.0298663,197.5835709,195.2108935,192.9196231,190.0298524,191.5007457,187.4375388,182.0553025,172.9283875,163.0716064,144.284625
6.44,201.22285,200.0645133,198.6194122,197.1751168,194.7602869,192.4572242,189.5434008,191.0379758,186.9709998,181.5550856,172.3865841,162.5407581,143.6427758
6.45,200.863188,199.6961838,198.2327158,196.7432594,194.3361632,192.0182092,189.0761692,190.5833068,186.4961278,181.052804,171.8531868,162.0120439,143.0137201
6.46,200.5196621,199.3371646,197.8587996,196.3211891,193.928647,191.5919985,188.6233935,190.1103426,185.9989538,180.5354564,171.3165954,161.47236,142.3878844
6.47,200.1848184,198.9848544,197.4950692,195.9049807,193.536539,191.1810456,188.1874486,189.6181802,185.4845284,180.0040429,170.7770014,160.9255072,141.7593641
6.48,199.8800147,198.6768299,197.1739103,195.5490239,193.1790917,190.8005061,187.7802284,189.1559061,185.0018724,179.4739919,170.2500932,160.4013767,141.1201112
6.49,199.6347493,198.4162225,196.8948849,195.2170175,192.8609491,190.4575886,187.407216,188.6938419,184.5072668,178.9411372,169.7281157,159.8755396,140.4847167
6.5,199.4316253,198.1876693,196.6476125,194.8949877,192.5707108,190.1414496,187.0638456,188.2229207,184.0043671,178.4258543,169.2126987,159.34187,139.8520598
6.51,199.24108,197.9652223,196.4110586,194.5714279,192.2872936,189.8394836,186.7330307,187.7344866,183.4952048,177.909261,168.6997887,158.7967597,139.2173573
6.52,198.9190933,197.6623808,196.158563,194.2353641,191.9934067,189.5333385,186.4015077,187.2280779,182.9915858,177.3803788,168.18272,158.244343,138.6039173
6.53,198.5993732,197.320659,195.8062603,193.8673705,191.6641705,189.1983332,186.0455845,186.6958755,182.4604833,176.8318621,167.6436511,157.7157043,137.9834775
6.54,198.2366072,196.9472651,195.4229185,193.4803045,191.316067,188.8393625,185.6775049,186.1561354,181.9120846,176.2588323,167.1106712,157.1833828,137.3772207
6.55,197.8477362,196.5491913,195.0169821,193.0571553,190.9618152,188.4679775,185.3035509,185.6456013,181.3577835,175.6670958,166.592837,156.6553733,136.7908412
6.56,197.4336513,196.1342309,194.5954794,192.6375566,190.6160685,188.0926146,184.9345035,185.1377349,180.7978219,175.0662106,166.096288,156.1425779,136.2226841
6.57,197.0109471,195.7137573,194.1726648,192.2201991,190.2239696,187.7332363,184.6028265,184.6403644,180.2533093,174.4592485,165.6231835,155.6299738,135.6693316
6.58,196.6275896,195.3314946,193.7925521,191.835601,189.9114937,187.4098249,184.2983218,184.1511178,179.7221066,173.8710906,165.144145,155.1169471,135.1164547
6.59,196.5560524,195.2176626,193.6616025,191.6231373,189.6894582,187.1808183,184.0852336,183.6485496,179.1618255,173.2926539,164.6648846,154.5176482,134.5030293
6.6,196.4330705,195.0595407,193.485688,191.3773788,189.447972,186.9378097,183.8584823,183.1280094,178.5991677,172.7124635,164.1695915,153.9029575,133.885343
6.61,196.2447269,194.848749,193.253985,191.0902392,189.1874816,186.6675209,183.5483913,182.597646,178.0287605,172.1191703,163.6697102,153.3027459,133.2804818
6.62,195.9843934,194.5766664,192.9632058,190.7589063,188.8978149,186.360292,183.2397874,182.0738522,177.4565343,171.5083049,163.1911697,152.721161,132.6863124
6.63,195.6618908,194.2521028,192.6317217,190.4076876,188.5902399,186.0322557,182.9126886,181.500415,176.8842982,170.8945545,162.7264988,152.1590549,132.099303
6.64,195.2559025,193.8574989,192.2545733,190.0124063,188.2443499,185.6754836,182.5637831,180.935449,176.3010051,170.2633681,162.2668388,151.5979348,131.5472963
6.65,194.792604,193.4462797,191.8585086,189.6303675,187.883096,185.3194744,182.2108342,180.3660071,175.7205597,169.6337505,161.810887,151.0526441,130.9892766
6.66,194.3172115,193.0491979,191.4961226,189.3003706,187.5386799,184.9923751,181.8776725,179.8005545,175.1468959,169.0156785,161.360279,150.4972219,130.4295211
6.67,193.915357,192.6499993,191.1668969,189.0098826,187.2112215,184.6843302,181.5622718,179.2324879,174.5385126,168.3991877,160.9111223,149.9330437,129.8701381
6.68,193.5558797,192.292586,190.8427866,188.7343073,186.8910428,184.3821616,181.2547669,178.655918,173.9494919,167.776198,160.4596879,149.3595235,129.3116837
6.69,193.1997128,191.9344174,190.4667317,188.4387133,186.562872,184.0708095,180.9405565,178.069249,173.3379352,167.149406,160.0049028,148.7900307,128.759413
6.7,192.7402591,191.4894482,190.0419614,188.0606638,186.1948873,183.7195324,180.5914668,177.4957736,172.7392441,166.5258617,159.5368117,148.2320226,128.2005561
6.71,192.3068242,191.064383,189.626069,187.6921618,185.8245932,183.3710592,180.2463741,176.9092419,172.1362549,165.9085188,159.0710644,147.6692321,127.6491026
6.72,191.9040063,190.6612232,189.2208519,187.337804,185.4477812,183.0246365,179.9040609,176.327898,171.5287119,165.2972497,158.6152988,147.1108818,127.1050254
6.73,191.5256415,190.2734572,188.8211354,186.986124,185.0319559,182.6743249,179.5562475,175.7524963,170.9200951,164.6781651,158.1732919,146.5593817,126.5724451
6.74,191.1601014,189.8917324,188.4200357,186.6068844,184.6271947,182.3081379,179.1883813,175.1744837,170.3104362,164.0577278,157.7308101,146.0110818,126.0386542
6.75,190.7916634,189.5039199,188.0099438,186.2110193,184.2149766,181.9197174,178.79741,174.5732399,169.682427,163.4138671,157.2729571,145.4594238,125.5054768
6.76,190.4401975,189.1300498,187.615663,185.8223886,183.8047673,181.489651,178.402721,173.9661457,169.0497547,162.7525766,156.7988854,144.9005618,124.9538564
6.77,190.1088164,188.7736684,187.2441212,185.4621932,183.4029342,181.0754133,178.0013347,173.3623698,168.4227793,162.0783052,156.2977868,144.3306026,124.38642
6.78,189.7846334,188.4246267,186.9047298,185.0966989,183.001097,180.6513206,177.5849844,172.7606385,167.8051009,161.3958882,155.7657194,143.75783,123.8140246
